record_id,content_original,focus_model,category,parameter,sentiment,confidence,is_wow_factor,review_flag,is_substantial,content_english,translation_status,translation_source
9cbce7ca-cd87-41bd-bb5e-b2603e89ee5d,"Went to pick brv V after watching this and happy owning this for more than 6months now. Matipid, sobrang gaan, napaka da",Honda BRV,Value Perception; Powertrain / Performance; Powertrain / Performance; Comfort & Space; Brand Perception,Competitor Comparison; Energy Consumption; Driving Ease; Ride Quality; Brand Trust,Positive,0.88,False,OK,True,"Went to pick brv V after watching this and happy owning this for more than 6months now. Matipid, sobrang gaan, napaka dali i maniobra and comfortable. My wife even prefers to drive this versus our sedan. 😅😅 thanks for this review autodeal. I trusted your reviews and now enjoys driving both cars.",ok,auto
9fa005dc-634e-4385-9fbd-e6738490772d,Matipid ba sa gas?,Honda BRV,Powertrain / Performance,Energy Consumption,Neutral,0.9,False,OK,True,Is it economical on gas?,ok,auto
6182e3b1-9f0e-4980-a16e-152401553ccf,Sir di ba kayo nasayangan sa VX variant na onte nalang dagdag? Or you think negligible naman yung Honda Sensing?,Honda BRV,Value Perception; Safety & ADAS,Price; ADAS Features,Neutral,0.75,False,OK,True,"Sir, didn't you miss the VX variant that only added a little? Or do you think Honda Sensing is negligible?",ok,auto
399b53ab-41f0-42dc-897e-c04aa2956109,"Loving our V variant, this review helped us make that ""sensible choice""",Honda BRV,Value Perception; Other,Value for Money; General Impression,Positive,0.925,False,OK,True,"Loving our V variant, this review helped us make that ""sensible choice""",ok,auto
ee9d4ef0-5aee-4f08-877c-d8bda009629c,"As an Asian kid,we have a Honda BRV too! It’s nice to ride and can fit me,my cousins,and my grandmas and grandpas! It’s ",Honda BRV,Comfort & Space; Comfort & Space; Other,Cabin Space; Ride Quality; General Impression,Positive,0.883,False,OK,True,"As an Asian kid,we have a Honda BRV too! It’s nice to ride and can fit me,my cousins,and my grandmas and grandpas! It’s a nice car,trust me!",ok,auto
d5ce64af-9996-4660-9add-5b7edd1a67b4,"I love the back side of the BRV, it looks so clean and simple",Honda BRV,Styling / Design,Exterior Design,Positive,0.95,False,OK,True,"I love the back side of the BRV, it looks so clean and simple",ok,auto
96c39e8a-5015-41bf-af89-3af4669fb1ad,The car looks absolutely nice. I just really hate how the rear air vents look. They look like the same as our old early ,Honda BRV,Styling / Design; Styling / Design,Exterior Design; Interior Design,Neutral,0.925,False,MIXED_SENTIMENT,True,The car looks absolutely nice. I just really hate how the rear air vents look. They look like the same as our old early 2000s toyota Revo.,ok,auto
ef3d6ab8-a744-4367-9926-ce22e52e8a83,Caco is putting in some muscles now. 💪💪💪🔥,Honda BRV,Styling / Design,Exterior Design,Positive,0.9,True,OK,True,Caco is putting in some muscles now. 💪💪💪🔥,ok,auto
d7f26264-31b3-4e5b-9f48-771bb72e992b,I wish we had brv in the west. Looks better than the current CRV in my opinion,Honda BRV,Styling / Design,Exterior Design,Positive,0.9,False,OK,True,I wish we had brv in the west. Looks better than the current CRV in my opinion,ok,auto
e66f88c1-64fc-4a41-b069-9d16c5ec5783,"i have this exact variant (and color!) and I must say, no regrets and I'm growing to love it even more the more we use i",Honda BRV,Value Perception; Powertrain / Performance; Powertrain / Performance; Comfort & Space; Comfort & Space; Styling / Design; Other; Value Perception; Brand Perception; Other,Resale Value; Engine Power; Energy Consumption; Cabin Space; Ride Quality; Exterior Design; Ownership Experience; Value for Money; Brand Trust; General Impression,Positive,0.91,True,OK,True,"i have this exact variant (and color!) and I must say, no regrets and I'm growing to love it even more the more we use it. I bought itnas a family car and I was willing to pay for the extra over the S variant because I don't really do much customization and prefer to use just the stock with some accessories so the upgrade in details made sense for me. The power and fuel efficiency is amazing. We've driven it in those steep bumpy side roads in tagaytay with full capacity (7 medium to heavy adults) and it was no problem. The size is perfect for both experienced and new drivers. Unpopular but I also love that it still has the traditional hand break over the electronic one. I was ok with not having honda sensing since my brother wasn't keen on using it and I'm a newbie driver so I prefer to get familiar with a more simple set-up. Lastly, it's a honda- reliable and has a high resale value in case you decide to let go of it in the future. The look of the car is also very neat and classy, it won't look dated even after many years. Ofcourse taste is subjective, but this one just ticks all the boxes. I'm no car enthusiast, this is the first car I've purchased and no buyer remorse at all. A very happy amd satisfied owner here!",ok,auto
