record_id,content_original,focus_model,category,parameter,sentiment,confidence,is_wow_factor,review_flag,is_substantial,content_english,translation_status,translation_source
3490f66e-8d72-4664-9c72-ff4625bf2ed1,Innova 8 ghê là s??ng nh?t,Toyota Innova,Comfort & Space,Ride Quality,Positive,0.85,False,OK,True,Innova 8 is seriously the most comfortable.,ok,auto
565622db-996c-4278-9fa5-321df603b953,form này ra m?t 2021 hay sao ?y nh? anh,Innova,Styling / Design,Exterior Design,Negative,0.8,False,OK,True,"This model was launched in 2021 or something, right?",ok,auto
779542e8-dcb9-439d-ba64-2ab7f285c060,Tr? ch?c ch?n desti còn k innova,Innova,Value Perception,Competitor Comparison,Positive,0.9,False,OK,True,Surely Desti is still inferior to Innova.,ok,auto
db1bfe40-24b4-4659-9a57-1caed70ede0b,Gi? còn 730tr ph?i không shop? V?y quá ngon r?i,Innova,Value Perception,Price,Positive,0.9,False,OK,True,"Price still 730 million, right shop? Then that's really good.",ok,auto
d2bbfdf2-a83b-445c-baac-ad46b49355b3,Vì nó s? h?u c? máy 2.0 b?n,Innova,Powertrain / Performance,Engine Power,Positive,0.95,False,OK,True,Because it has the 2.0 engine version.,ok,auto
65428f3e-ad06-4df4-8ca7-50b3392934d4,100km mà vòng tua ch?a ??n 2 ngàn. ?o th? nh?,Innova,Powertrain / Performance,Cruising RPM,Positive,0.95,False,OK,True,"100 km/h and the RPM hasn't even reached 2,000. Should test it, huh?",ok,auto
93322feb-5366-4c81-9221-33db8920f727,@LongTran-Ngoc xpander ss vs ?n h?i b? kh?p khi?ng ý bác xpander ng?i ch?t l?m,Innova,Comfort & Space,Seat Comfort,Positive,0.9,False,OK,True,"@LongTran-Ngoc Xpander SS vs what? It's useless and uneven. Your opinion, Xpander seating is very comfortable.",ok,auto
22a4d2b1-e0b7-42b4-bf53-9a6ec49e5af9,"K?t xe Toyota innova Cross, nh?ng ch?a ?? ti?n ?? mua",Toyota Innova,Other; Value Perception,General Impression; Price,Neutral,0.85,False,MIXED_SENTIMENT,True,"I like the Toyota Innova Cross, but I don't have enough money to buy it yet.",ok,auto
4ec157fe-2b6c-4366-a033-8eb619b466cd,"L?y m? c?a r?t h?p lý. ??m b?o tài x? m? c?a b?ng 2 tay, vi?c này giúp tài x? c?n th?n quan sát r?i m? c?a h?n là dùng 1",Limogreen,Safety & ADAS,Door Safety Design,Positive,0.9,False,OK,True,"The door-opening method is very reasonable. It ensures the driver opens the door with both hands. This helps the driver carefully observe before opening the door, rather than using one hand which might accidentally push the door open and cause danger to people outside.",ok,auto
ef641b13-9b88-42fc-83fd-fd873f054c4b,"Vi?c so sánh s? d? hình dung h?n n?u v?t ???c ?em ra so sánh ???c nhi?u ng??i bi?t h?n, ch? ko liên quan gì ??n ?u ái ha",BYD M6,Brand Perception,Brand Recognition,Negative,0.9,False,OK,True,"The comparison will be easier to visualize if the object being compared is more well-known. It has nothing to do with favoritism, sir. If compared to the M6, only a few hundred people know it, but compared to the Innova Cross, tens of thousands know it.",ok,auto
