record_id,aspect_index,category,parameter,sentiment,confidence,phrase_original,phrase_english,focus_model,is_wow_factor,review_flag
45323871-bdd5-4747-9851-f2372bf924e7,0,Other,General,Neutral,0,,,BYD M6,FALSE,OK
eb606119-d1e6-4d61-88cf-0fa0daf9bc92,0,Other,General,Neutral,0,,,BYD M6,FALSE,OK
3c89e6e2-062d-4a38-b705-ecb75a236eb9,0,Brand Perception,Country of Origin Image,Negative,0.95,Tôi không thích xe tàu,I don't like Chinese cars,BYD M6,FALSE,OK
2e9274d7-486a-432a-aeb2-ec67171fb99c,0,Brand Perception,Country of Origin Image,Negative,0.95,ko b gi? mua xe tàu,wouldn't buy a Chinese car,BYD M6,FALSE,OK
fa849f69-510c-4f39-8334-57dfef092e7e,0,Other,General,Neutral,0,,,BYD M6,FALSE,OK
0c3d8149-4a37-41a4-9945-c44b6f9e3186,0,Other,General,Neutral,0,,,BYD M6,FALSE,OK
020a56d4-d6eb-4228-9b2e-82c14ffcad9c,0,Other,General,Neutral,0,,,BYD M6,FALSE,OK
c11005ff-5dfd-48fa-9e7a-d386ef0e6622,0,Other,General,Neutral,0,,,BYD M6,FALSE,OK
bd10cf7d-a612-4e1d-9f64-0afcc09df99f,0,Other,General,Neutral,0,,,BYD M6,FALSE,OK
b4541d99-4d4f-42d4-b127-6bbbbd941a1c,0,Value Perception,Battery Replacement Cost,Negative,0.95,n?u pin h? thì mua bao nhiêu ti?n. th?y nói bán g?n b?ng n?a giá xe.,"If battery is broken, how much to buy? Someone said sold almost half the car price.",BYD M6,FALSE,OK
563954d7-6ed6-494a-8590-d9401793ed4f,0,Value Perception,Charging Infrastructure,Negative,0.7,Bán cái xe không có trạm sạc,Sell a car without charging station,BYD M6,FALSE,OK
5b9be943-d27a-4484-aa58-87a9847e9880,0,Powertrain / Performance,Battery Range,Positive,0.85,nhi?u ông ?i g?n 500km c?ng ???c,Many people can drive nearly 500 km,BYD M6,FALSE,OK
2d27aeb8-161d-4d76-a283-46309c009b5f,0,Value Perception,Competitor Comparison,Negative,0.9,Chưa cần thiết ! Chưa đạt cho các hãng khác sống nữa !,Not necessary yet! Not yet enough for other brands to survive!,BYD M6,FALSE,OK
1edf1950-ee98-4812-ad62-3086c8aeeba6,0,Powertrain / Performance,Home Charging,Negative,0.85,v?n ?? mình ?i xa thì s?c t?i nhà ki?u gì,Question about how to charge at home when going far,BYD M6,FALSE,OK
474b0fb4-8aa9-450c-a80e-b749a46d793f,0,Other,General,Neutral,0,,,BYD M6,FALSE,OK
ed16c74c-8014-48e0-8821-a6f62b1ab4a6,0,Brand Perception,Dealer Network,Negative,0.95,BYD khi nào có showroom ? Nha Trang,When will BYD have a showroom in Nha Trang?,BYD M6,FALSE,OK
a6498616-7ee9-434a-881e-d30677192565,0,Comfort & Space,Cabin Space,Positive,0.85,XE 7 CH? TH?C D?NG NH? V?Y,A 7-seat car so practical like that,BYD M6,FALSE,OK
