record_id,scraped_at,country,platform,platform_type,source_url,thread_id,post_id,parent_post_id,author_id,author_username,post_date,post_date_normalized,content_original,Initial_Translation,car_brand,car_model,car_segment,Initial_parameter,Initial_sentiment,has_media,media_urls,like_count,reply_count,share_count,view_count,is_thread_opener,star_rating,star_rating_max,star_rating_available,scraper_version,raw_html_hash,enriched_content,has_context,is_semantic_duplicate,duplicate_of_id,similarity_score,content_quality_flag,wow_signal_hits,category,parameter,sentiment,confidence,is_wow_factor,review_flag,focus_model,content_english,translation_status,translation_source,is_substantial,engagement_raw,engagement_score,sentiment_weight,wow_factor_score,wow_score_tier
280725ad-bdb3-4aca-94b8-02f8b346d458,46192.62802,Indonesia,Facebook,group_post,https://www.facebook.com/groups/1042223519894027/posts/2012706206179082/?comment_id=2039710300145339&__cft__[0]=AZYLfXXhi2xOkuzddM3y4-vzeIBW_HwF3SxE-5DwbHIvcnKRinzEEkiwhj5mqgKlht9UVIigpIRLunT9cWCT_fK5-EBgnx-xun_6XSMqpU4hlUheeAvZOPbAM4Si-GhnTxlJpiPS5ygh1iyDjms8-7sDRzqNPY0eJH7UeCTn3XZgBYmiUOixa3JLTWR5X2100iq4_OE957ma1dB-7wbo6pKA&__tn__=R-R,2.01271E+15,2.01271E+15,,,,,,Up,,Toyota,Toyota Avanza,B-MPV,Styling / Design,Neutral,False,,0,0.0,0,0,True,,,False,fb_scraper_v1,,Up,False,False,,,LOW_SIGNAL,,,,,,,,,,,,,,,,,
aaf3bd9c-ca75-42fe-8dcf-8ca2256c6bf9,46192.62802,Indonesia,Facebook,group_post,https://www.facebook.com/groups/1042223519894027/posts/2012706206179082/?comment_id=2039373676845668&__cft__[0]=AZYLfXXhi2xOkuzddM3y4-vzeIBW_HwF3SxE-5DwbHIvcnKRinzEEkiwhj5mqgKlht9UVIigpIRLunT9cWCT_fK5-EBgnx-xun_6XSMqpU4hlUheeAvZOPbAM4Si-GhnTxlJpiPS5ygh1iyDjms8-7sDRzqNPY0eJH7UeCTn3XZgBYmiUOixa3JLTWR5X2100iq4_OE957ma1dB-7wbo6pKA&__tn__=R-R,2.01271E+15,2.01271E+15,,,,,,Up,,Toyota,Toyota Avanza,B-MPV,Powertrain / Performance,Neutral,False,,0,0.0,0,0,True,,,False,fb_scraper_v1,,Up,False,True,280725ad-bdb3-4aca-94b8-02f8b346d458,1.0,LOW_SIGNAL,,,,,,,,,,,,,,,,,
c434adbf-538c-4fbc-a71c-b44ed945bbe1,46192.62802,Indonesia,Facebook,group_comment,https://www.facebook.com/groups/1042223519894027/posts/2012706206179082/?comment_id=2039710300145339&__cft__[0]=AZYLfXXhi2xOkuzddM3y4-vzeIBW_HwF3SxE-5DwbHIvcnKRinzEEkiwhj5mqgKlht9UVIigpIRLunT9cWCT_fK5-EBgnx-xun_6XSMqpU4hlUheeAvZOPbAM4Si-GhnTxlJpiPS5ygh1iyDjms8-7sDRzqNPY0eJH7UeCTn3XZgBYmiUOixa3JLTWR5X2100iq4_OE957ma1dB-7wbo6pKA&__tn__=R-R,2.01271E+15,2012706206179082_C1,2012710000000000.0,https://www.facebook.com/groups/1042223519894027/user/1440015594/,Muhammad Kareza Andayarie,23 minggu,09/01/2026,Up,,Toyota,Toyota Avanza,B-MPV,Powertrain / Performance,Neutral,False,,0,0.0,0,0,False,,,False,fb_scraper_v1,,Up,False,True,280725ad-bdb3-4aca-94b8-02f8b346d458,1.0,LOW_SIGNAL,,,,,,,,,,,,,,,,,
deb17855-9357-4497-bdf1-941c6fee3c57,46192.62802,Indonesia,Facebook,group_comment,https://www.facebook.com/groups/1042223519894027/posts/2012706206179082/?comment_id=2039373676845668&__cft__[0]=AZYLfXXhi2xOkuzddM3y4-vzeIBW_HwF3SxE-5DwbHIvcnKRinzEEkiwhj5mqgKlht9UVIigpIRLunT9cWCT_fK5-EBgnx-xun_6XSMqpU4hlUheeAvZOPbAM4Si-GhnTxlJpiPS5ygh1iyDjms8-7sDRzqNPY0eJH7UeCTn3XZgBYmiUOixa3JLTWR5X2100iq4_OE957ma1dB-7wbo6pKA&__tn__=R-R,2.01271E+15,2012706206179082_C1,2012710000000000.0,https://www.facebook.com/groups/1042223519894027/user/1440015594/,Muhammad Kareza Andayarie,23 minggu,09/01/2026,Up,,Toyota,Toyota Avanza,B-MPV,New Tech,Neutral,False,,0,0.0,0,0,False,,,False,fb_scraper_v1,,Up,False,True,280725ad-bdb3-4aca-94b8-02f8b346d458,1.0,LOW_SIGNAL,,,,,,,,,,,,,,,,,
ee82e3e2-50e8-49a7-a9c2-118fc21bff06,46192.62802,Indonesia,Facebook,group_comment,https://www.facebook.com/groups/1042223519894027/posts/2012706206179082/?comment_id=2039710300145339&__cft__[0]=AZYLfXXhi2xOkuzddM3y4-vzeIBW_HwF3SxE-5DwbHIvcnKRinzEEkiwhj5mqgKlht9UVIigpIRLunT9cWCT_fK5-EBgnx-xun_6XSMqpU4hlUheeAvZOPbAM4Si-GhnTxlJpiPS5ygh1iyDjms8-7sDRzqNPY0eJH7UeCTn3XZgBYmiUOixa3JLTWR5X2100iq4_OE957ma1dB-7wbo6pKA&__tn__=R-R,2.01271E+15,2012706206179082_C2,2012710000000000.0,https://www.facebook.com/groups/1042223519894027/user/1440015594/,Muhammad Kareza Andayarie,24 minggu,02/01/2026,Up,,Toyota,Toyota Avanza,B-MPV,Safety,Neutral,False,,0,0.0,0,0,False,,,False,fb_scraper_v1,,Up,False,True,280725ad-bdb3-4aca-94b8-02f8b346d458,1.0,LOW_SIGNAL,,,,,,,,,,,,,,,,,
20db5098-8dad-4905-b415-4e5d9ef9913d,46192.62802,Indonesia,Facebook,group_comment,https://www.facebook.com/groups/1042223519894027/posts/2012706206179082/?comment_id=2039373676845668&__cft__[0]=AZYLfXXhi2xOkuzddM3y4-vzeIBW_HwF3SxE-5DwbHIvcnKRinzEEkiwhj5mqgKlht9UVIigpIRLunT9cWCT_fK5-EBgnx-xun_6XSMqpU4hlUheeAvZOPbAM4Si-GhnTxlJpiPS5ygh1iyDjms8-7sDRzqNPY0eJH7UeCTn3XZgBYmiUOixa3JLTWR5X2100iq4_OE957ma1dB-7wbo6pKA&__tn__=R-R,2.01271E+15,2012706206179082_C2,2012710000000000.0,https://www.facebook.com/groups/1042223519894027/user/1440015594/,Muhammad Kareza Andayarie,24 minggu,02/01/2026,Up,,Toyota,Toyota Avanza,B-MPV,New Tech,Neutral,False,,0,0.0,0,0,False,,,False,fb_scraper_v1,,Up,False,True,280725ad-bdb3-4aca-94b8-02f8b346d458,1.0,LOW_SIGNAL,,,,,,,,,,,,,,,,,
f345c124-3ccc-4379-8060-fd8d7cf970c6,46192.62802,Indonesia,Facebook,group_post,https://www.facebook.com/groups/1042223519894027/posts/2178587619590939/?comment_id=2178801366236231&__cft__[0]=AZbFo-Q6t68KlbKDa-hcIG8nUW7sGgogvvlGZNwpWI_5kEdj-b-jka-HrpkzYn1iW-a85y1El-0jtaSE1uFn-n2xou4nu2LMsz1uj2CfLkSVXz7uE4bNOsYNuW5ktDfZY_9EjhMxCYiOEXw-33KYsr7fX0JgIVTZpKTG9CtUq3N8mn0OYSu7hJaw3lO2kqOfQ1yONCZabUOtceyO6AaibMTB&__tn__=R-R,2.17859E+15,2.17859E+15,,,,,,Contoh paling sering seal kruk as udah rusak jadi oli keluar.  Lihat selengkapnya,,Toyota,Toyota Avanza,B-MPV,Value Perception,Negative,False,,8,0.0,0,0,True,,,False,fb_scraper_v1,,Contoh paling sering seal kruk as udah rusak jadi oli keluar.  Lihat selengkapnya,False,False,,,KEEP,,Powertrain / Performance,Engine Reliability,Negative,0.9,False,OK,Toyota Avanza,The most common example is that the crankshaft seal has been damaged so oil comes out.  See more,ok,auto,True,2.1972245773362196,16.72,0.0,8.36,LOW
7492e522-d37d-46fc-a149-b993acfb4c79,46192.62802,Indonesia,Facebook,group_post,https://www.facebook.com/groups/1042223519894027/posts/2178587619590939/?comment_id=2178787882904246&__cft__[0]=AZbFo-Q6t68KlbKDa-hcIG8nUW7sGgogvvlGZNwpWI_5kEdj-b-jka-HrpkzYn1iW-a85y1El-0jtaSE1uFn-n2xou4nu2LMsz1uj2CfLkSVXz7uE4bNOsYNuW5ktDfZY_9EjhMxCYiOEXw-33KYsr7fX0JgIVTZpKTG9CtUq3N8mn0OYSu7hJaw3lO2kqOfQ1yONCZabUOtceyO6AaibMTB&__tn__=R-R,2.17859E+15,2.17859E+15,,,,,,Selain oli seal crankshaft yang ada dibalik roda gila sebaiknya periksa dulu dudukan saringan oli berangkali O oringnya sudah oblak atau kalah.,,Toyota,Toyota Avanza,B-MPV,New Tech,Neutral,False,,7,0.0,0,0,True,,,False,fb_scraper_v1,,Selain oli seal crankshaft yang ada dibalik roda gila sebaiknya periksa dulu dudukan saringan oli berangkali O oringnya sudah oblak atau kalah.,False,False,,,KEEP,gila(100.0%),Other,Maintenance,Neutral,0.8,False,OK,Toyota Avanza,,skipped_not_substantial,,False,,,,,
f032c179-67fb-4b2f-8ae6-795e540c5817,46192.62802,Indonesia,Facebook,group_comment,https://www.facebook.com/groups/1042223519894027/posts/2178587619590939/?comment_id=2178801366236231&__cft__[0]=AZbFo-Q6t68KlbKDa-hcIG8nUW7sGgogvvlGZNwpWI_5kEdj-b-jka-HrpkzYn1iW-a85y1El-0jtaSE1uFn-n2xou4nu2LMsz1uj2CfLkSVXz7uE4bNOsYNuW5ktDfZY_9EjhMxCYiOEXw-33KYsr7fX0JgIVTZpKTG9CtUq3N8mn0OYSu7hJaw3lO2kqOfQ1yONCZabUOtceyO6AaibMTB&__tn__=R-R,2.17859E+15,2178587619590939_C1,2178590000000000.0,https://www.facebook.com/groups/1042223519894027/user/100057261859775/,Casper Uhuy,1hari,18/06/2026,"Mau di paksa tutup itu lubang, nanti oli ny kmana mana menyebabkan komponen yang seharusnya tidak boleh kena oli.",,Toyota,Toyota Avanza,B-MPV,Styling / Design,Neutral,False,,8,0.0,0,0,False,,,False,fb_scraper_v1,,"Mau di paksa tutup itu lubang, nanti oli ny kmana mana menyebabkan komponen yang seharusnya tidak boleh kena oli.",False,False,,,KEEP,mantap(72.7%),Other,Oil Leak Concern,Negative,0.9,False,OK,Toyota Avanza,,skipped_not_substantial,,False,,,,,
6d9f37af-4b8d-4c81-a8ca-556fefe22616,46192.62802,Indonesia,Facebook,group_comment,https://www.facebook.com/groups/1042223519894027/posts/2178587619590939/?comment_id=2178801366236231&__cft__[0]=AZbFo-Q6t68KlbKDa-hcIG8nUW7sGgogvvlGZNwpWI_5kEdj-b-jka-HrpkzYn1iW-a85y1El-0jtaSE1uFn-n2xou4nu2LMsz1uj2CfLkSVXz7uE4bNOsYNuW5ktDfZY_9EjhMxCYiOEXw-33KYsr7fX0JgIVTZpKTG9CtUq3N8mn0OYSu7hJaw3lO2kqOfQ1yONCZabUOtceyO6AaibMTB&__tn__=R-R,2.17859E+15,2178587619590939_C2,2178590000000000.0,https://www.facebook.com/groups/1042223519894027/user/100011701813379/,Alex Baco,1hari,18/06/2026,Selain oli seal crankshaft yang ada dibalik roda gila sebaiknya periksa dulu dudukan saringan oli berangkali O oringnya sudah oblak atau kalah.,,Toyota,Toyota Avanza,B-MPV,Styling / Design,Neutral,False,,7,0.0,0,0,False,,,False,fb_scraper_v1,,Selain oli seal crankshaft yang ada dibalik roda gila sebaiknya periksa dulu dudukan saringan oli berangkali O oringnya sudah oblak atau kalah.,False,True,7492e522-d37d-46fc-a149-b993acfb4c79,1.0,LOW_SIGNAL,,,,,,,,,,,,,,,,,
