record_id,aspect_index,category,parameter,sentiment,confidence,phrase_original,phrase_english,focus_model,is_wow_factor,review_flag,is_substantial,wow_factor_score,wow_score_tier,engagement_score
ce47d063-272a-47ac-9db7-ee0dd5742c0f,0,Other,General,Neutral,0.0,,,Tucson,False,OK,False,,,
cb0ee89a-6c6a-4f2f-a7ea-dcf7fff1fb7c,0,Other,General,Neutral,0.0,,,Tucson,False,OK,False,,,
f29422b1-c686-4627-bf26-f8b260ae5c6f,0,Styling / Design,Exterior Design,Negative,0.95,ko ??p b?ng ??i tr??c,not as beautiful as previous generation,Tucson,False,OK,True,18.95,LOW,37.9
7ee74b84-fa58-4c98-917c-f626e9935693,0,Brand Perception,Brand Trust,Positive,0.9,mình v?n ch?n huyndai,I still choose Hyundai,Tucson,False,OK,True,46.69,MEDIUM,3.37
262548cf-ae6d-4b0c-a745-54aa81ded0ba,0,Styling / Design,Exterior Design,Negative,0.9,b?n m?i ??u ko ??p,new version is not beautiful,Tucson,False,OK,True,0.0,LOW,0.0
c6331aeb-7376-4e63-909b-8d1e375d069c,0,Other,General Impression,Positive,0.3,Cái này ?ã ???c ch?ng minh,This has been proven,Tucson,False,LOW_CONFIDENCE,False,,,
c7688146-87d1-4701-b779-07e0854be8fb,0,Other,General,Neutral,0.0,,,Tucson,False,OK,False,,,
2ba51ecc-9b1b-4b2c-b5ec-a5f55eb95f2f,0,Brand Perception,Market Availability,Positive,0.8,xe nay sang nam moi to vn nha,This car will be brought to Vietnam next year.,Tucson,False,OK,True,40.0,MEDIUM,0.0
b137e536-77ca-4ecd-a1d4-af7f099edb4d,0,Value Perception,Competitor Comparison,Positive,0.9,giá toàn trên tr?i,prices are all sky-high,Tucson,False,OK,True,45.0,MEDIUM,0.0
1b73c857-da63-4cd1-9c0e-2a8b9113b706,0,Value Perception,Price,Neutral,0.9,B?n th?p thì mình ?oán s? kho?ng 700-800 B?n cao nh?t s? kho?ng 900-1 t?,"Low version guessed around 700-800 million, high version around 900-1 billion",Tucson,False,OK,True,13.5,LOW,0.0
8bc1295a-d95d-4bba-9ea3-d2da412a1271,0,Other,General Impression,Positive,0.8,cho?n crv m??i chuâ?n nhe?,"choose the new CRV, it's perfect",Honda CRV,False,OK,False,,,
bdd8126c-f4ae-4768-84e7-d4048ce35726,0,Styling / Design,Exterior Design,Negative,0.9,??t adass l?ch ph?i nhìn không cân ??i,"The car is placed misaligned to the right, looks unbalanced",Tucson,False,OK,True,5.06,LOW,10.12
e965d501-a176-4ba4-a01c-6a1289744d71,0,Safety & ADAS,Collision Avoidance,Negative,0.9,quá tự tin vào cảnh báo va chạm phía trước nên đâm phải trâu,too confident in forward collision warning so hit a buffalo,Sportage,False,OK,True,4.33,LOW,8.67
e965d501-a176-4ba4-a01c-6a1289744d71,1,Safety & ADAS,Feature Stability,Negative,0.85,"nó hoạt động ko ổn định, nó chỉ là tính năng hỗ trợ thôi","it operates unstably, it's just a support feature",Sportage,False,OK,True,4.33,LOW,8.67
8e73ce95-9051-4cf6-9c0c-358993266cf3,0,Styling / Design,Exterior Design,Negative,0.9,th?y Tucson thô không ??p b?ng Spot,"I find Tucson ugly, not as beautiful as Spot",Tucson,False,OK,True,2.67,LOW,5.35
17e0e331-60d4-43da-b72d-b6eade67c48d,0,New Tech,Head Up Display,Negative,0.9,HUD xe c?p th?p h?n có mà con này cao h?n ko có,"The lower model has HUD, but this higher model doesn't",Tucson,False,OK,True,0.0,LOW,0.0
673a454e-6c99-4b44-8169-8ed72a05dfe7,0,Styling / Design,Headlight Design,Neutral,0.7,?èn pha na ná stargazer,headlight similar to Stargazer,Tucson,False,OK,True,40.27,MEDIUM,59.55
b07f6f09-f633-4dd0-85da-f95bbb8b197a,0,Value Perception,Competitor Comparison,Positive,0.8,b?t bu?c cx5 ph?i nâng c?p lên m?i c?nh tranh l?i,the CX-5 must upgrade to compete again,Tucson,False,OK,True,40.0,MEDIUM,0.0
68a0deef-fa39-4aa9-a078-f8a0412c2ee4,0,Value Perception,Competitor Comparison,Positive,0.9,xe này mà v? t?m giá 800 thì cx 5 ko bán ???c,this car at price 800 then CX-5 can't sell,Tucson,False,OK,True,51.69,MEDIUM,13.37
d5fa9919-b7bb-43e2-87a5-4bb2a8eddd33,0,Value Perception,Competitor Comparison,Negative,0.9,CX5 gi? không có cách nào ??y doanh s? ???c r?i,Current CX5 has no way to boost sales anymore,Mazda CX 5,False,OK,True,35.91,VIRAL_NEGATIVE,71.82
8b0a6650-8f47-44a1-9219-e2955384cd14,0,Comfort & Space,NVH,Negative,0.9,"không êm, không ??m, không ?n ??nh nh? xe nh?t","not quiet, not soundproof, not stable like Japanese cars",Tucson,False,OK,True,0.0,LOW,0.0
18af8611-c3ad-402c-b877-95ba0c561e10,0,Styling / Design,Exterior Design,Positive,0.7,ch?c nhìn lâu thì s? ??p kk,"maybe if you look at it for a long time, it will become beautiful",Tucson,False,OK,True,35.0,LOW,0.0
7f613b48-8185-41b9-9434-e40e05216e7b,0,Safety & ADAS,Parking Sensor,Negative,0.95,C? cái radar ? tr??c xe n?a t? nhiên l?ch m? 1 bên,The front radar suddenly misaligned to one side,Tucson,False,OK,True,0.0,LOW,0.0
ee4c4423-57b3-4217-82ef-80cba21db930,0,Styling / Design,Exterior Design,Positive,0.9,?èn sau gi?ng mec ??i tr??c thì gi?ng porsche,"The rear lights look like Mercedes, the previous generation looks like Porsche",Tucson,False,OK,True,45.0,MEDIUM,0.0
a3720651-8102-4afe-a84f-0858a44ecd79,0,New Tech,Black View Camera,Negative,0.7,sao k l?p black view,why not install black view,Tucson,False,OK,True,0.0,LOW,0.0
ea4b2251-f0be-4977-99f9-bf079abee6e6,0,Styling / Design,Wheel Design,Positive,0.7,B?n tiêu chu?n l?n bánh 850t là v?a mi?ng,Standard version large wheel 850t is just right,Tucson,False,OK,True,35.0,LOW,0.0
87a9e6bb-035f-44da-9207-391b251edfc3,0,Comfort & Space,Seat Comfort,Negative,0.9,Khó ch?u,Uncomfortable,Tucson,False,OK,True,0.0,LOW,0.0
d5fa9919-b7bb-43e2-87a5-4bb2a8eddd33,0,Value Perception,Competitor Comparison,Positive,0.7,CX5 gi? không có cách nào ??y doanh s? ???c r?i,CX5 no way to boost sales anymore,Tucson,False,OK,True,70.91,HIGH,71.82
7cb6cc1b-d9c4-43eb-a619-8750df960c42,0,Value Perception,Price,Positive,0.85,20% là quá ok,20% is very okay,Tucson,False,OK,True,42.5,MEDIUM,0.0
673a454e-6c99-4b44-8169-8ed72a05dfe7,0,Styling / Design,Headlight Design,Neutral,0.9,Cá nhân mình th?y ?èn pha na ná stargazer,"Personally, I see the headlights are similar to Stargazer",Stargazer,False,OK,True,43.27,MEDIUM,59.55
42a5e32e-2922-4df8-b95d-31a0655ac00c,0,Other,Launch Timing,Positive,0.7,Bao gi? m?i bán ? vn,When will it be sold in Vietnam?,Tucson,False,OK,False,,,
ba4d9942-889c-4e07-bea0-d00d8172d785,0,Styling / Design,Exterior Design,Positive,0.9,VinFast thi?t k? chán quá,VinFast design is very boring,Tucson,False,OK,True,45.0,MEDIUM,0.0
d2bedd91-875a-42c3-826d-d126f435b0aa,0,Powertrain / Performance,Engine Option,Neutral,0.9,Co b?n may d?u k nhi,Is there a diesel version?,Tucson,False,OK,True,13.5,LOW,0.0
8bc1295a-d95d-4bba-9ea3-d2da412a1271,0,Value Perception,Competitor Comparison,Negative,0.7,2 ba?c na?y cho?n crv m??i chuâ?n nhe?.,"Two of you choose the new CRV, standard, okay?",Tucson,False,OK,True,7.74,LOW,15.47
57795e38-3a69-4404-a805-ef0c34891e1e,0,Brand Perception,Country of Origin Image,Positive,0.6,xe tàu so với xe hàn,Chinese cars compared to Korean cars,Tucson,False,LOW_CONFIDENCE,True,30.0,LOW,0.0
0dec850e-d915-4fae-94dc-4b2119578f27,0,Value Perception,Competitor Comparison,Negative,0.9,Tuc 2022 v? thì thaco ph?i mang kia v?,Tucson 2022? Then THACO must bring Kia?,Tucson,False,OK,True,0.0,LOW,0.0
68a0deef-fa39-4aa9-a078-f8a0412c2ee4,0,Value Perception,Competitor Comparison,Negative,0.9,t?m giá 800 thì cx 5 ko bán ???c,"at the price of 800, CX-5 cannot sell",Mazda CX 5,False,OK,True,6.68,LOW,13.37
0303f9ee-6936-41ca-a370-ab27506b7901,0,Styling / Design,Steering Wheel Design,Positive,0.9,vô l?ng b?n hi?n t?i thì ok quá,the steering wheel of the current version is very okay,Tucson,False,OK,True,46.69,MEDIUM,3.37
2ae9f6d2-f456-442c-b966-8edaecdf3f49,0,Other,General Impression,Negative,0.3,"l?i là do ""b?n"" h?n à???",the mistake is because it's dirtier?,Tucson,False,LOW_CONFIDENCE,False,,,
205c17e8-7552-427b-8f51-295644290078,0,Styling / Design,Steering Wheel Logo Alignment,Positive,0.9,cái logo KIA l?ch ph?i trên vô l?ng trông c?c k? khó ch?u,the KIA logo skewed to the right on the steering wheel looks extremely uncomfortable,Tucson,False,OK,True,80.8,HIGH,71.61
20998c25-e7e6-485b-828e-aee4894c1d5e,0,Other,General Impression,Neutral,0.3,Sao không th?y add thêm GLC vào n?a nh??,Why don't they add the GLC as well?,Tucson,False,LOW_CONFIDENCE,False,,,
d2777e4f-eec7-4ddf-bae3-1d0fea378020,0,Safety & ADAS,Dashcam,Negative,0.7,2 xe k l?p camera hành trình luôn,2 cars don't have dashcams installed,Tucson,False,OK,True,6.75,LOW,13.5
6df28043-87fa-486f-8c9e-4025a427437f,0,Value Perception,Price,Neutral,0.4,Ch?a bàn ??n giá,Haven't discussed price yet,Tucson,False,LOW_CONFIDENCE,True,9.38,LOW,6.75
ee340f7e-af02-4807-bdeb-118f1c7ba4ed,0,Value Perception,Price,Negative,0.7,mà màu tr?ng c?ng ??t h?n bác ak,the white color is also more expensive than yours,Tucson,False,LOW_CONFIDENCE,True,0.0,LOW,0.0
ee340f7e-af02-4807-bdeb-118f1c7ba4ed,1,Styling / Design,Color Options,Negative,0.6,mà màu tr?ng c?ng ??t h?n bác ak,the white color is also more expensive than yours,Tucson,False,LOW_CONFIDENCE,True,0.0,LOW,0.0
23ea2b9b-9759-4b11-8b4c-fe3aa08ab0fc,0,Brand Perception,Brand Image,Negative,0.7,gỡ vứt cái Logo,remove and discard the logo,Tucson,False,OK,True,0.0,LOW,0.0
a5106dee-7027-48d1-9b3e-4097fa87cf25,0,Value Perception,Price,Negative,0.6,hybrid thì khó có giá ?ó r?i,hybrid is hard to have that price,Tucson,False,LOW_CONFIDENCE,True,0.0,LOW,0.0
8d4d4477-162b-4ace-b64f-c46929f5579b,0,Styling / Design,Exterior Design,Negative,0.95,th?y Xtrail ? Myz nhìn ??p h?n b?n này nhìu,see Xtrail in the US looks much better than this version,Tucson,False,OK,True,0.0,LOW,0.0
5dfb3a68-fc4e-4661-b10a-caa56e6693ad,0,Value Perception,Price,Negative,0.6,Ddoans gias thif hoir nhaf nk nhes!,Guess the price then ask for a discount!,Tucson,False,LOW_CONFIDENCE,True,0.0,LOW,0.0
922cc345-bfa8-4524-8b79-d302d4a4a246,0,Styling / Design,Color Options,Positive,0.8,ban mau trang,white color version,Tucson,False,OK,True,43.35,MEDIUM,0.0
922cc345-bfa8-4524-8b79-d302d4a4a246,1,Powertrain / Performance,Engine Power,Positive,0.9,1.6 turbo,1.6 turbo,Tucson,False,OK,True,43.35,MEDIUM,0.0
922cc345-bfa8-4524-8b79-d302d4a4a246,2,Value Perception,Price,Neutral,0.9,tong la 1250 a,total is 1250,Tucson,False,OK,True,43.35,MEDIUM,0.0
d6c55216-565f-4283-acfa-1beecb994998,0,Other,Build Quality,Negative,0.9,l?p ráp t?i VN còn kém h?n b?n nh?p Hàn,assembly in Vietnam is worse than Korean imported version,Tucson,False,OK,False,,,
3fe235d5-8650-4b82-9abc-65101249ac61,0,Value Perception,Price,Positive,0.7,?nh b?o kho?ng 800. Em ngh? con anh ?ang lái khó d??i 1 t?i l?n bánh,I think the car you are driving is probably under 1 billion on the road,Tucson,False,OK,True,39.01,LOW,8.02
2a4ee643-08ac-4cf5-a62b-2ea4e7e0486b,0,Other,General,Neutral,0.0,,,Tucson,False,OK,False,,,
b58239e1-cdd1-444a-94f9-10055aacf9ee,0,Value Perception,Price,Positive,0.95,th?p h?n kia sportage 50tr,lower than Kia Sportage by 50 million,Tucson,False,OK,True,47.73,MEDIUM,12.96
b58239e1-cdd1-444a-94f9-10055aacf9ee,1,Styling / Design,Exterior Design,Neutral,0.7,ch? khác ngo?i th?t,only different exterior,Tucson,False,OK,True,47.73,MEDIUM,12.96
991af49a-e1d6-408a-b081-8cb52e1c6338,0,Styling / Design,Headlight Design,Negative,0.7,cái khuôn ?èn,the lamp mold,Tucson,False,OK,True,0.0,LOW,0.0
71854828-fcd8-4f8f-91ba-0e14a0b4870b,0,Value Perception,Price,Negative,0.7,500 tr thì còn ??t v?i mùa này ?,500 million is still expensive for this season?,Tucson,False,OK,True,0.0,LOW,0.0
f1938812-1358-491e-b7f9-6d486b247c4e,0,Value Perception,Competitor Comparison,Negative,0.9,"b?n th?p nh?t ch?c ko ??n 800, thì d? c?nh tranh tuc h?n","the lowest version probably under 800, then easy to compete with Tucson more",Tucson,False,OK,True,0.0,LOW,0.0
b07f6f09-f633-4dd0-85da-f95bbb8b197a,0,Value Perception,Competitor Comparison,Negative,0.9,N?u nh? v?y thì b?t bu?c cx5 ph?i nâng c?p lên m?i c?nh tranh l?i,"If that's the case, CX5 must be upgraded to compete again",Mazda CX 5,False,OK,True,0.0,LOW,0.0
671d1ba4-7ea2-497d-bac2-48565d933038,0,Value Perception,Features Reduction,Negative,0.9,V? ??n vn thì thaco c?t bao nhiêu % trang b??,"Still the same, how much percentage of equipment does Thaco cut?",Tucson,False,OK,True,33.81,VIRAL_NEGATIVE,67.63
da646c24-d2dd-448d-b7c9-57f5d7c8adfd,0,Safety & ADAS,ADAS Features,Negative,0.75,t?t h?t t?t h?t adas,all good all good ADAS,Tucson,False,OK,True,5.06,LOW,10.12
2514f7ae-5de5-47a6-b234-fde6933d8422,0,Brand Perception,Brand Trust,Positive,0.5,"Hỗ trợ, ko thay thế","Support, not replace",Tucson,False,LOW_CONFIDENCE,True,25.0,LOW,0.0
