record_id,content_original,focus_model,category,parameter,sentiment,confidence,is_wow_factor,review_flag
f345c124-3ccc-4379-8060-fd8d7cf970c6,Contoh paling sering seal kruk as udah rusak jadi oli keluar.  Lihat selengkapnya,Toyota Avanza,Powertrain / Performance,Engine Reliability,Negative,0.9,FALSE,OK
7492e522-d37d-46fc-a149-b993acfb4c79,Selain oli seal crankshaft yang ada dibalik roda gila sebaiknya periksa dulu dudukan saringan oli berangkali O oringnya ,Toyota Avanza,Other,Maintenance,Neutral,0.9,FALSE,OK
f032c179-67fb-4b2f-8ae6-795e540c5817,"Mau di paksa tutup itu lubang, nanti oli ny kmana mana menyebabkan komponen yang seharusnya tidak boleh kena oli.",Toyota Avanza,Other,Oil Leak Concern,Negative,0.9,FALSE,OK
4174d1ea-fbad-44f2-b4df-91c531702812,Seal krukas belakang atau bisa juga seal input,Toyota Avanza,Other,Seal Condition,Neutral,0.7,FALSE,OK
06cfb527-350a-40b6-a5ec-f9cfc2b39076,KM berapa om? Punya saya Q CVT 2022 belum ada rembes/netes oli KM 240rb. Service rutin di BeRes,Toyota Avanza,Powertrain / Performance; Value Perception,Durability; Maintenance Cost,Positive,0.85,FALSE,OK
cdceb348-9705-426c-954b-33dea66ccbb6,Seal Kruk as blkg dh minta ganti,Toyota Avanza,Other,General Impression,Negative,0.7,FALSE,OK
30dcf955-b1ab-41be-8286-93c6bd276ec9,"Seal kruk as biasanya,kalo yg bocor oli mesin, sealnya sekitar 150-200 yg bagus, jasanya yg lumayan,soalnya turun maticn",Toyota Avanza,Value Perception,Maintenance Cost,Negative,0.9,FALSE,OK
b17b0869-0c7a-42a4-9143-8f63c1fecdf9,"Seal kruk as belakang bocor, kalau KM <100.000. Atau belum 3 tahun. +service rutin di beres /10rb km, bisa claim warrant",Toyota Avanza,Value Perception; Brand Perception,Warranty; After Sales Service,Positive,0.875,FALSE,OK
11b68bb5-20d3-4aca-8f2d-c1afe274bd06,ini samsat mana om ?,Toyota Avanza,Other,General Impression,Neutral,0.6,FALSE,LOW_CONFIDENCE
175bfed8-7219-4be1-b96a-c4c9d2f62c1a,Yg di 1.3 salah ketik itu...soalnya cc nya 1.496,Toyota Avanza,Other,General Impression,Neutral,0.9,FALSE,OK
2ea8740f-3df4-433a-9351-8204fa9c9127,Coba nomor mesin dan rangka sama ga,Toyota Avanza,Other,Ownership Experience,Neutral,0.9,FALSE,OK
78171558-3573-4dff-897e-82ca57116eb2,Alat anti error itu maksudnya apa ya,Toyota Avanza,Other,General Impression,Neutral,0.9,FALSE,OK
f0405718-acc3-4551-9dfc-7f0f71cff96b,Pake lebih bagus klu ada uangnya.,Toyota Avanza,Value Perception,Price,Neutral,0.7,FALSE,OK
256a0e0e-b30e-4586-bbf7-554134eb2639,Nyimak merek & tipe ban yg senyap gak berisik,Toyota Avanza,Other,Tire Noise,Neutral,0.8,FALSE,OK
4993af4c-6ac4-4ad4-b75f-280f1e3539e5,"R 17 OEM altis, barang Kali minat bang WA 087785377536",Toyota Avanza,Styling / Design,Wheel Design,Positive,0.7,FALSE,OK
3a8cc679-538f-4723-983a-d39c95c126a1,skrg orang lebih suka mobil tua karna sukacangnya tdk sulit di cari,Toyota Avanza,Value Perception,Maintenance Cost,Negative,0.8,FALSE,OK
1f184d0d-d5c1-4528-a9b2-faea6aa4a613,Pilot nya tua jg nggak om..wkwkw,Toyota Avanza,Other,General Impression,Neutral,0.9,FALSE,OK
ea30dc9c-8cca-4a42-9bc9-54eb9a8d3a40,Lagi nyari ecu copotan Avanza 2004,Toyota Avanza,Other,Spare Parts Availability,Neutral,0.8,FALSE,OK
2f23ce5f-8792-4667-8af9-d7f99e5b188e,Saya pakai Avanza sudah 5 th lebih tidak pernah ganti oil gardan,Toyota Avanza,Powertrain / Performance; Value Perception; Other,Transmission; Maintenance Cost; Ownership Experience,Positive,0.867,FALSE,OK
8e639231-8072-4a7e-bde1-9da7c8171f8f,"Tiga kali tap mesin,trs tap total PAK ,mesin,prosneling SM grdan,biasakan GT aman",Toyota Avanza,Other,General Impression,Neutral,0.6,FALSE,LOW_CONFIDENCE
