record_id,content_original,focus_model,category,parameter,sentiment,confidence,is_wow_factor,review_flag
d6281a3f-14fd-4cc2-88cb-fc982549df02,Anh làm clip so sánh Avanza2022 và XL7 ?i ?,Toyota Avanza,Other,General,Neutral,0.0,False,NO ASPECT | NONSUBSTANTIAL
aefce297-28c4-48f5-9061-ea541726872d,B?n này review khá hay. 1 like,Kia Seltos,Other,General,Neutral,0.0,False,NO ASPECT | NONSUBSTANTIAL
af1ebd8f-788a-485d-95c1-8d8d9c6f13ee,Em ? ??c hoà Long an,Kia Seltos,Other,General,Neutral,0.0,False,NO ASPECT | NONSUBSTANTIAL
de58fefb-5509-4c57-a9ca-1e3c869491ad,"D?, em có clip riêng v? chi?c YC r?i mà bác.",Toyota Yaris Cross,Other,General,Neutral,0.0,False,NO ASPECT | NONSUBSTANTIAL
8ad97291-20d7-4544-bab2-f4eb486eabba,"C?m ?n bác ?ã xem và chia s? thông tin, quan ?i?m c?a em là xe nào c?ng có hay d? c?, ?u nh??c rõ ràng bác ?.",Toyota Yaris Cross,Other,General,Neutral,0.0,False,NO ASPECT | NONSUBSTANTIAL
53afa7cb-2274-4f70-a5d3-e288d659b0e0,em mu?n tr?i nghi?m luôn thì liên h? v?i ai v?y cho cái s? ?i?n tho?i c?a bên tr?i ngh?m nhé anh ?i,Creta,Other,General,Neutral,0.0,False,NO ASPECT | NONSUBSTANTIAL
d13227f6-d1aa-4294-b216-1c36b84e53ba,cám ?n bài chia s? c?a ad 11/12/2022,Kia Seltos,Other,General,Neutral,0.0,False,NO ASPECT | NONSUBSTANTIAL
94f0eb36-f88a-47ae-8dc6-057788d49040,"D?, c?m ?n bác ?ã xem, góp ý và chia s? quan ?i?m cá nhân ?.",Toyota Yaris Cross,Other,General,Neutral,0.0,False,NO ASPECT | NONSUBSTANTIAL
80117d59-e850-4282-af7a-d6e6668d0598,"D?, c?m ?n bác ?ã ??ng viên t?i em ?, c?m ??ng và trân quí l?m l?m.",Kia Seltos,Other,General,Neutral,0.0,False,NO ASPECT | NONSUBSTANTIAL
4fa740f5-9331-4c83-a823-48f5d11b157e,Nh? may có vi?c c?n bán thì xe Toyota c?ng gi? giá ph?t ?y,Toyota Yaris Cross,Value Perception,Resale Value,Positive,0.95,False,OK
39a07cc6-b090-4b4d-b789-0ff2368b1cc1,??ng c? 1.5 có y?u nh? Xpander ko nh?.,Kia Seltos,Powertrain / Performance,Engine Power,Negative,0.9,False,OK
