record_id,aspect_index,category,parameter,sentiment,confidence,phrase_original,phrase_english,focus_model,is_wow_factor,review_flag,is_substantial,wow_factor_score,wow_score_tier,engagement_score
9cbce7ca-cd87-41bd-bb5e-b2603e89ee5d,0,Value Perception,Competitor Comparison,Positive,0.9,My wife even prefers to drive this versus our sedan,My wife even prefers to drive this versus our sedan,Honda BRV,False,OK,True,57.75,MEDIUM,25.5
9cbce7ca-cd87-41bd-bb5e-b2603e89ee5d,1,Powertrain / Performance,Energy Consumption,Positive,0.9,Matipid,Fuel efficient,Honda BRV,False,OK,True,57.75,MEDIUM,25.5
9cbce7ca-cd87-41bd-bb5e-b2603e89ee5d,2,Powertrain / Performance,Handling,Positive,0.9,"sobrang gaan, napaka dali i maniobra","very light, very easy to maneuver",Honda BRV,False,OK,True,57.75,MEDIUM,25.5
9cbce7ca-cd87-41bd-bb5e-b2603e89ee5d,3,Comfort & Space,Ride Quality,Positive,0.9,comfortable,comfortable,Honda BRV,False,OK,True,57.75,MEDIUM,25.5
9cbce7ca-cd87-41bd-bb5e-b2603e89ee5d,4,Other,Ownership Experience,Positive,0.9,happy owning this for more than 6months now,happy owning this for more than 6 months now,Honda BRV,False,OK,True,57.75,MEDIUM,25.5
9fa005dc-634e-4385-9fbd-e6738490772d,0,Powertrain / Performance,Energy Consumption,Neutral,0.9,Matipid ba sa gas?,Is it fuel efficient?,Honda BRV,False,OK,True,16.6,LOW,6.19
6182e3b1-9f0e-4980-a16e-152401553ccf,0,Value Perception,Price,Neutral,0.8,di ba kayo nasayangan sa VX variant na onte nalang dagdag?,Aren't you regretful about the VX variant with just a little extra cost?,Honda BRV,False,OK,True,11.25,LOW,0.0
6182e3b1-9f0e-4980-a16e-152401553ccf,1,Safety & ADAS,ADAS Features,Neutral,0.7,negligible naman yung Honda Sensing?,Is Honda Sensing negligible?,Honda BRV,False,OK,True,11.25,LOW,0.0
399b53ab-41f0-42dc-897e-c04aa2956109,0,Value Perception,Value for Money,Positive,0.9,sensible choice,sensible choice,Honda BRV,False,OK,True,44.31,MEDIUM,3.62
399b53ab-41f0-42dc-897e-c04aa2956109,1,Other,General Impression,Positive,0.8,Loving our V variant,Loving our V variant,Honda BRV,False,OK,True,44.31,MEDIUM,3.62
88e5c27e-5d9c-40a0-a2f0-a1bb2b55111f,0,Other,General Impression,Positive,0.95,your first review of the 2023 Honda BR-V caused me to buy one :),your first review of the 2023 Honda BR-V caused me to buy one :),Honda BRV,False,OK,False,,,
ee9d4ef0-5aee-4f08-877c-d8bda009629c,0,Comfort & Space,Cabin Space,Positive,0.9,"can fit me,my cousins,and my grandmas and grandpas","can fit me, my cousins, and my grandparents",Honda BRV,False,OK,True,49.53,MEDIUM,10.75
ee9d4ef0-5aee-4f08-877c-d8bda009629c,1,Comfort & Space,Ride Quality,Positive,0.85,It's nice to ride,It's nice to ride,Honda BRV,False,OK,True,49.53,MEDIUM,10.75
ee9d4ef0-5aee-4f08-877c-d8bda009629c,2,Other,General Impression,Positive,0.9,"It's a nice car,trust me!","It's a nice car, trust me!",Honda BRV,False,OK,True,49.53,MEDIUM,10.75
d5ce64af-9996-4660-9add-5b7edd1a67b4,0,Styling / Design,Exterior Design,Positive,0.95,I love the back side of the BRV,I love the back side of the BRV,Honda BRV,False,OK,True,57.15,MEDIUM,21.8
d5ce64af-9996-4660-9add-5b7edd1a67b4,1,Styling / Design,Exterior Design,Positive,0.9,it looks so clean and simple,it looks so clean and simple,Honda BRV,False,OK,True,57.15,MEDIUM,21.8
96c39e8a-5015-41bf-af89-3af4669fb1ad,0,Styling / Design,Exterior Design,Positive,0.9,The car looks absolutely nice.,The car looks absolutely nice.,Honda BRV,False,MIXED_SENTIMENT,True,21.06,LOW,14.37
96c39e8a-5015-41bf-af89-3af4669fb1ad,1,Styling / Design,Interior Design,Negative,0.95,I just really hate how the rear air vents look. They look like the same as our old early 2000s toyota Revo.,I just really hate how the rear air vents look. They look like the same as our old early 2000s Toyota Revo.,Honda BRV,False,MIXED_SENTIMENT,True,21.06,LOW,14.37
ef3d6ab8-a744-4367-9926-ce22e52e8a83,0,Styling / Design,Exterior Design,Positive,0.9,Caco is putting in some muscles now. 💪💪💪🔥,The car is now more muscular and aggressive in design.,Honda BRV,True,OK,True,45.0,MEDIUM,0.0
d9a80150-560b-43f7-9b00-33e26460a0c7,0,Other,General Impression,Positive,0.9,I just saw one in America! Wow what a treat!,I just saw one in America! Wow what a treat!,Honda BRV,True,OK,False,,,
7a66507f-ebb3-4a81-8e67-53c46add977d,0,Other,General Impression,Positive,0.8,"Damn, The camera work is just Gorgeous. 12:50 SHEEEEEEESH",The camera work is gorgeous and exciting,Honda BRV,True,OK,False,,,
d7f26264-31b3-4e5b-9f48-771bb72e992b,0,Styling / Design,Exterior Design,Positive,0.9,Looks better than the current CRV,Looks better than the current CRV,Honda BRV,False,OK,True,44.31,MEDIUM,3.62
d7f26264-31b3-4e5b-9f48-771bb72e992b,1,Value Perception,Competitor Comparison,Positive,0.8,Looks better than the current CRV,Looks better than the current CRV,Honda BRV,False,OK,True,44.31,MEDIUM,3.62
d7843c54-dd56-4696-91ab-1bf7c0ed7fc6,0,Other,General Impression,Positive,0.6,Looking forward for your comparo of 7 seaters of 2023,Looking forward to your comparison of 7-seaters of 2023,Honda BRV,False,LOW_CONFIDENCE,False,,,
d7843c54-dd56-4696-91ab-1bf7c0ed7fc6,0,Other,General Impression,Positive,0.6,Looking forward for your comparo of 7 seaters of 2023,Looking forward to your comparison of 7-seaters of 2023,VF 7,False,LOW_CONFIDENCE,False,,,
e66f88c1-64fc-4a41-b069-9d16c5ec5783,0,Value Perception,Resale Value,Positive,0.95,it's a honda- reliable and has a high resale value in case you decide to let go of it in the future,it's a Honda - reliable and has high resale value if you decide to sell it in the future,Honda BRV,True,OK,True,64.7,MEDIUM,37.39
e66f88c1-64fc-4a41-b069-9d16c5ec5783,1,Brand Perception,Brand Trust,Positive,0.9,it's a honda- reliable and has a high resale value,it's a Honda - reliable and has high resale value,Honda BRV,True,OK,True,64.7,MEDIUM,37.39
e66f88c1-64fc-4a41-b069-9d16c5ec5783,2,Powertrain / Performance,Engine Power,Positive,0.95,The power and fuel efficiency is amazing. We've driven it in those steep bumpy side roads in tagaytay with full capacity (7 medium to heavy adults) and it was no problem.,The power and fuel efficiency is amazing. We've driven it on steep bumpy roads in Tagaytay with full capacity (7 medium to heavy adults) and it was no problem.,Honda BRV,True,OK,True,64.7,MEDIUM,37.39
e66f88c1-64fc-4a41-b069-9d16c5ec5783,3,Powertrain / Performance,Fuel Efficiency,Positive,0.9,The power and fuel efficiency is amazing.,The power and fuel efficiency is amazing.,Honda BRV,True,OK,True,64.7,MEDIUM,37.39
e66f88c1-64fc-4a41-b069-9d16c5ec5783,4,Comfort & Space,Cabin Space,Positive,0.95,The size is perfect for both experienced and new drivers.,The size is perfect for both experienced and new drivers.,Honda BRV,True,OK,True,64.7,MEDIUM,37.39
e66f88c1-64fc-4a41-b069-9d16c5ec5783,5,Comfort & Space,Ride Quality,Positive,0.9,We've driven it in those steep bumpy side roads in tagaytay with full capacity (7 medium to heavy adults) and it was no problem.,We've driven it on steep bumpy roads in Tagaytay with full capacity (7 medium to heavy adults) and it was no problem.,Honda BRV,True,OK,True,64.7,MEDIUM,37.39
e66f88c1-64fc-4a41-b069-9d16c5ec5783,6,Styling / Design,Exterior Design,Positive,0.85,"The look of the car is also very neat and classy, it won't look dated even after many years.","The look of the car is also very neat and classy, it won't look dated even after many years.",Honda BRV,True,OK,True,64.7,MEDIUM,37.39
e66f88c1-64fc-4a41-b069-9d16c5ec5783,7,Other,Ownership Experience,Positive,0.95,no regrets and I'm growing to love it even more the more we use it,no regrets and I'm growing to love it even more the more we use it,Honda BRV,True,OK,True,64.7,MEDIUM,37.39
e66f88c1-64fc-4a41-b069-9d16c5ec5783,8,Value Perception,Value for Money,Positive,0.9,I was willing to pay for the extra over the S variant because I don't really do much customization and prefer to use just the stock with some accessories so the upgrade in details made sense for me.,"I was willing to pay extra over the S variant because I don't customize much and prefer stock with some accessories, so the upgrade in details made sense for me.",Honda BRV,True,OK,True,64.7,MEDIUM,37.39
e66f88c1-64fc-4a41-b069-9d16c5ec5783,9,Other,General Impression,Positive,0.95,this one just ticks all the boxes,this one just ticks all the boxes,Honda BRV,True,OK,True,64.7,MEDIUM,37.39
