record_id,aspect_index,category,parameter,sentiment,confidence,phrase_original,phrase_english,focus_model,is_wow_factor,review_flag
d6281a3f-14fd-4cc2-88cb-fc982549df02,0,Other,General,Neutral,0.0,,,Toyota Avanza,False,OK
aefce297-28c4-48f5-9061-ea541726872d,0,Other,General,Neutral,0.0,,,Kia Seltos,False,OK
af1ebd8f-788a-485d-95c1-8d8d9c6f13ee,0,Other,General,Neutral,0.0,,,Kia Seltos,False,OK
de58fefb-5509-4c57-a9ca-1e3c869491ad,0,Other,General,Neutral,0.0,,,Toyota Yaris Cross,False,OK
8ad97291-20d7-4544-bab2-f4eb486eabba,0,Other,General,Neutral,0.0,,,Toyota Yaris Cross,False,OK
53afa7cb-2274-4f70-a5d3-e288d659b0e0,0,Other,General,Neutral,0.0,,,Creta,False,OK
d13227f6-d1aa-4294-b216-1c36b84e53ba,0,Other,General,Neutral,0.0,,,Kia Seltos,False,OK
94f0eb36-f88a-47ae-8dc6-057788d49040,0,Other,General,Neutral,0.0,,,Toyota Yaris Cross,False,OK
80117d59-e850-4282-af7a-d6e6668d0598,0,Other,General,Neutral,0.0,,,Kia Seltos,False,OK
4fa740f5-9331-4c83-a823-48f5d11b157e,0,Value Perception,Resale Value,Positive,0.95,xe Toyota c?ng gi? giá ph?t ?y,Toyota cars hold their value well,Toyota Yaris Cross,False,OK
39a07cc6-b090-4b4d-b789-0ff2368b1cc1,0,Powertrain / Performance,Engine Power,Negative,0.9,??ng c? 1.5 có y?u nh? Xpander ko nh?.,Is the 1.5 engine as weak as the Xpander?,Kia Seltos,False,OK
bc3844e2-c880-4588-b94e-ecdec9a23e82,0,Other,Ownership Experience,Positive,0.9,tôi đang đi yaris cross và thấy đúng lắm,I am driving Yaris Cross and find it very accurate,Toyota Yaris Cross,False,OK
68471589-a1ac-4d67-933f-487b72f52e33,0,Other,General,Neutral,0.0,,,Toyota Yaris Cross,False,OK
8ef747d4-a8f5-40d7-8ab2-84ca4867e02f,0,Brand Perception,Brand Trust,Positive,0.95,ng??i VN tin Toy nhi?u h?n Mit,Vietnamese people trust Toyota more than Mitsubishi,Toyota Yaris Cross,False,OK
92dfa341-5cfe-494d-b888-fadc481b109b,0,Brand Perception,Brand Image,Negative,0.9,ch?n Kona vì thích nh?ng cái truy?n th?ng,choose Kona because I like traditional things,Kia Seltos,False,OK
476de7fa-e156-4e75-a0b5-ddbd2998707d,0,Powertrain / Performance,Engine Options,Negative,0.9,H?i ti?c ko có b?n 1.5 Turbo,Regret that it doesn't have a 1.5 Turbo version,Creta,False,OK
ba9d7413-78a5-4bb3-abeb-0cf3d8d510f8,0,Other,Market Availability,Neutral,0.6,Hyundai Creta ada di Vietnam ????,Is Hyundai Creta in Vietnam?,Creta,False,LOW_CONFIDENCE
1b7c9fdc-8728-48ed-91de-20875727f50d,0,Other,General,Neutral,0.0,,,Kia Seltos,False,OK
