record_id,scraped_at,country,platform,platform_type,page_number,source_url,thread_id,thread_or_video_title,post_id,parent_post_id,author_id,author_username,post_date,post_date_normalized,content_original,Initial_Translation,car_brand,car_model,car_segment,Initial_parameter,Initial_sentiment,has_media,media_urls,like_count,reply_count,share_count,view_count,is_thread_opener,star_rating,star_rating_max,star_rating_available,scraper_version,raw_html_hash,enriched_content,has_context,is_semantic_duplicate,duplicate_of_id,similarity_score,content_quality_flag,wow_signal_hits,category,parameter,sentiment,confidence,is_wow_factor,review_flag,focus_model,content_english,translation_status,translation_source,is_substantial,engagement_raw,engagement_score,sentiment_weight,wow_factor_score,wow_score_tier
4bc11173-50d4-4f2b-a859-40ad70aaaabe,46203.72052,Vietnam,YouTube,video_comment,,https://www.youtube.com/watch?v=0SAtax-H4UM&pp=ygURQllEIE02IFZp4buHdCBOYW3SBwkJTgsBhyohjO8%3D,0SAtax-H4UM,Lái xe d?ch v? ?ánh giá BYD M6 - toát m? hôi gi?a mùa ?ông | TIPCAR TV,,0SAtax-H4UM,https://www.youtube.com/@Naxoai,@Naxoai,6 bulan yang lalu,01/01/2026,"B?n cmt cho nh?ng ng không theo dõi và ít bi?t v? thông tin xe ?i?n h? nghe thôi, ng??i hi?u bi?t h? c??i ?anghe nhé :BYD là dòng xe ?i?n ?ang làm khuynh ??o TG xe ?i?n toàn c?u trong vài n?m nay, m?i nh?t n?m 2024 ds ??t k? l?c 4,3 tri?u xe toàn c?u, riêng n?a ??u n?m nay ??t 1,2 tri?u chi?c nhé c?ngv??t Tesla và m?i lo?i xe ?i?n trên TG.",,BYD,BYD M6,C-MPV,,Neutral,FALSE,,2,,0,0,FALSE,,,FALSE,youtube_scraper_v2,,"B?n cmt cho nh?ng ng không theo dõi và ít bi?t v? thông tin xe ?i?n h? nghe thôi, ng??i hi?u bi?t h? c??i ?anghe nhé :BYD là dòng xe ?i?n ?ang làm khuynh ??o TG xe ?i?n toàn c?u trong vài n?m nay, m?i nh?t n?m 2024 ds ??t k? l?c 4,3 tri?u xe toàn c?u, riêng n?a ??u n?m nay ??t 1,2 tri?u chi?c nhé c?ngv??t Tesla và m?i lo?i xe ?i?n trên TG.",FALSE,FALSE,,,KEEP,,Brand Perception,Brand Image,Positive,1,TRUE,OK,BYD M6,"You comment for those who don't follow and know little about electric car info — they just listen; knowledgeable people just laugh it off. Listen up: BYD is the electric car brand that has been shaking up the global EV market for several years now. Most recently, in 2024, it set a record of 4.3 million cars worldwide, and in the first half of this year alone it reached 1.2 million units, dear — surpassing Tesla and every other electric car on the planet.",ok,auto,TRUE,1.098612289,8.83,1,54.41,MEDIUM
b9d3b998-c1b2-4e2d-9854-5161390b1efc,46203.72052,Vietnam,YouTube,video_comment,,https://www.youtube.com/watch?v=0SAtax-H4UM&pp=ygURQllEIE02IFZp4buHdCBOYW3SBwkJTgsBhyohjO8%3D,0SAtax-H4UM,Lái xe d?ch v? ?ánh giá BYD M6 - toát m? hôi gi?a mùa ?ông | TIPCAR TV,,0SAtax-H4UM,https://www.youtube.com/@ngocgiapkt,@ngocgiapkt,7 bulan yang lalu,01/12/2025,"Nhìn vào doanh s? s? hi?u, khi b?n b? 600tr-1ty b?n có dám mua xe TQ không. Tôi thì ko, tôi mua xe Nh?t ch? c?ng ch?a dám mua hãng V",,BYD,BYD M6,C-MPV,,Neutral,FALSE,,2,,0,0,FALSE,,,FALSE,youtube_scraper_v2,,"Nhìn vào doanh s? s? hi?u, khi b?n b? 600tr-1ty b?n có dám mua xe TQ không. Tôi thì ko, tôi mua xe Nh?t ch? c?ng ch?a dám mua hãng V",FALSE,FALSE,,,KEEP,,Brand Perception,Country of Origin Image,Negative,1,FALSE,OK,BYD M6,"Looking at the sales figures, when you spend 600 million to 1 billion VND, do you dare buy a Chinese car? I don't. I buy Japanese cars, I still don't even dare to buy a V brand.",ok,auto,TRUE,1.098612289,8.83,0,4.42,LOW
17e288e0-5dd8-4d9a-8c85-bdbd155658e2,46203.72052,Vietnam,YouTube,video_comment,,https://www.youtube.com/watch?v=0SAtax-H4UM&pp=ygURQllEIE02IFZp4buHdCBOYW3SBwkJTgsBhyohjO8%3D,0SAtax-H4UM,Lái xe d?ch v? ?ánh giá BYD M6 - toát m? hôi gi?a mùa ?ông | TIPCAR TV,,0SAtax-H4UM,https://www.youtube.com/@Hell-o.1922,@Hell-o.1922,1 bulan yang lalu,01/06/2026,hài,,BYD,BYD M6,C-MPV,,Neutral,FALSE,,0,,0,0,FALSE,,,FALSE,youtube_scraper_v2,,hài,FALSE,FALSE,,,LOW_SIGNAL,,,,,,,,,,,,,,,,,
38e9b2a7-9713-43ee-a2a5-9884fdac4e89,46203.72052,Vietnam,YouTube,video_comment,,https://www.youtube.com/watch?v=0SAtax-H4UM&pp=ygURQllEIE02IFZp4buHdCBOYW3SBwkJTgsBhyohjO8%3D,0SAtax-H4UM,Lái xe d?ch v? ?ánh giá BYD M6 - toát m? hôi gi?a mùa ?ông | TIPCAR TV,,0SAtax-H4UM,https://www.youtube.com/@TamNguyen-sd8mc,@TamNguyen-sd8mc,1 bulan yang lalu,01/06/2026,Hay truong thuc,,BYD,BYD M6,C-MPV,,Neutral,FALSE,,1,,0,0,TRUE,,,FALSE,youtube_scraper_v2,,Hay truong thuc,FALSE,FALSE,,,LOW_SIGNAL,,,,,,,,,,,,,,,,,
7e7e7a08-a15f-46ad-be9a-bcb52239c873,46203.72052,Vietnam,YouTube,video_comment,,https://www.youtube.com/watch?v=4YB-nsxzQ5s&pp=ygURQllEIE02IFZp4buHdCBOYW0%3D,4YB-nsxzQ5s,"""Innova ?i?n"" BYD M6 chính th?c ra m?t - Phân khúc mà VN có th? thi?u | TIPCAR TV",,4YB-nsxzQ5s,https://www.youtube.com/@TeamSoS123_,@TeamSoS123_,1 tahun yang lalu,01/07/2025,"Nó có hud mà b?n ?i
Nhi?u ng??i ko có thói quen nhìn xu?ng b?ng ??ng h? mà nhìn luôn lên hud kính lái",,BYD,BYD M6,C-MPV,,Neutral,FALSE,,0,,0,0,FALSE,,,FALSE,youtube_scraper_v2,,"Nó có hud mà b?n ?i
Nhi?u ng??i ko có thói quen nhìn xu?ng b?ng ??ng h? mà nhìn luôn lên hud kính lái",FALSE,FALSE,,,KEEP,,New Tech,Head Up Display,Positive,1,FALSE,OK,BYD M6,"It has a HUD, you know. Many people don't have the habit of looking down at the dashboard; they just look straight up at the HUD on the windshield.",ok,auto,TRUE,0,0,1,50,MEDIUM
2fc53d2a-8158-4a28-8abc-59efc6283027,46203.72052,Vietnam,YouTube,video_comment,,https://www.youtube.com/watch?v=0SAtax-H4UM&pp=ygURQllEIE02IFZp4buHdCBOYW3SBwkJTgsBhyohjO8%3D,0SAtax-H4UM,Lái xe d?ch v? ?ánh giá BYD M6 - toát m? hôi gi?a mùa ?ông | TIPCAR TV,,0SAtax-H4UM,https://www.youtube.com/@kumy99,@kumy99,1 bulan yang lalu,01/06/2026,??y Trung Thành gi?i tán r?i m?i chán,,BYD,BYD M6,C-MPV,,Neutral,FALSE,,0,,0,0,TRUE,,,FALSE,youtube_scraper_v2,,??y Trung Thành gi?i tán r?i m?i chán,FALSE,FALSE,,,KEEP,,Other,General,Neutral,0,FALSE,NO ASPECT | NONSUBSTANTIAL,BYD M6,,skipped_not_substantial,,FALSE,,,,,
f0b26f4e-08be-4254-b45f-fb170e0ca292,46203.72052,Vietnam,YouTube,video_comment,,https://www.youtube.com/watch?v=4YB-nsxzQ5s&pp=ygURQllEIE02IFZp4buHdCBOYW0%3D,4YB-nsxzQ5s,"""Innova ?i?n"" BYD M6 chính th?c ra m?t - Phân khúc mà VN có th? thi?u | TIPCAR TV",,4YB-nsxzQ5s,https://www.youtube.com/@kunvo9392,@kunvo9392,1 tahun yang lalu,01/07/2025,@Th?oNguy?n.264  v?y m?y ae ?ang ch?y VF8 ko có ch? ?? s?c free thì s?ng b?ng ki?u gì?,,BYD,BYD M6,C-MPV,,Neutral,FALSE,,1,,0,0,FALSE,,,FALSE,youtube_scraper_v2,,@Th?oNguy?n.264  v?y m?y ae ?ang ch?y VF8 ko có ch? ?? s?c free thì s?ng b?ng ki?u gì?,FALSE,FALSE,,,KEEP,,Value Perception,Free Charging Benefit,Positive,1,FALSE,OK,BYD M6,So how are you guys driving the VF8 supposed to live without a free charging mode?,ok,auto,TRUE,0.693147181,5.57,1,52.79,MEDIUM
92b83d03-3c81-4a7f-a24d-7004a81cdb76,46203.72052,Vietnam,YouTube,video_comment,,https://www.youtube.com/watch?v=0SAtax-H4UM&pp=ygURQllEIE02IFZp4buHdCBOYW3SBwkJTgsBhyohjO8%3D,0SAtax-H4UM,Lái xe d?ch v? ?ánh giá BYD M6 - toát m? hôi gi?a mùa ?ông | TIPCAR TV,,0SAtax-H4UM,https://www.youtube.com/@H%C3%A0TrangC%E1%BA%A9m,@HàTrangC?m,13 hari yang lalu,18/06/2026,Có nha Vi?t anh,,BYD,BYD M6,C-MPV,,Neutral,FALSE,,0,,0,0,TRUE,,,FALSE,youtube_scraper_v2,,Có nha Vi?t anh,FALSE,FALSE,,,LOW_SIGNAL,,,,,,,,,,,,,,,,,
27e41757-fcb5-412a-91c3-caa6d69ca4e5,46203.72052,Vietnam,YouTube,video_comment,,https://www.youtube.com/watch?v=4YB-nsxzQ5s&pp=ygURQllEIE02IFZp4buHdCBOYW0%3D,4YB-nsxzQ5s,"""Innova ?i?n"" BYD M6 chính th?c ra m?t - Phân khúc mà VN có th? thi?u | TIPCAR TV",,4YB-nsxzQ5s,https://www.youtube.com/@TriB%C3%B9iXu%C3%A2n-s7r,@TriBùiXuân-s7r,1 tahun yang lalu,01/07/2025,Chi ban o nuoc ngoài thôi,,BYD,BYD M6,C-MPV,,Neutral,FALSE,,1,,0,0,TRUE,,,FALSE,youtube_scraper_v2,,Chi ban o nuoc ngoài thôi,FALSE,FALSE,,,KEEP,,Brand Perception,Market Presence,Negative,1,FALSE,OK,BYD M6,Only sold overseas.,ok,auto,TRUE,0.693147181,5.57,0,2.79,LOW
e973965b-5dc9-4db8-a2ed-2314b304a0f5,46203.72052,Vietnam,YouTube,video_comment,,https://www.youtube.com/watch?v=0SAtax-H4UM&pp=ygURQllEIE02IFZp4buHdCBOYW3SBwkJTgsBhyohjO8%3D,0SAtax-H4UM,Lái xe d?ch v? ?ánh giá BYD M6 - toát m? hôi gi?a mùa ?ông | TIPCAR TV,,0SAtax-H4UM,https://www.youtube.com/@khiemlevuong9451,@khiemlevuong9451,2 bulan yang lalu,01/05/2026,? @nhanaihoang7278 bò ?? là không bao gi? bi?t nh?c luôn,,BYD,BYD M6,C-MPV,,Neutral,FALSE,,2,,0,0,FALSE,,,FALSE,youtube_scraper_v2,,? @nhanaihoang7278 bò ?? là không bao gi? bi?t nh?c luôn,FALSE,FALSE,,,KEEP,,Other,General,Neutral,0,FALSE,NO ASPECT | NONSUBSTANTIAL,BYD M6,,skipped_not_substantial,,FALSE,,,,,
