record_id,content_original,focus_model,category,parameter,sentiment,confidence,is_wow_factor,review_flag,is_substantial,content_english,translation_status,translation_source
3c89e6e2-062d-4a38-b705-ecb75a236eb9,"Tôi không thích xe tàu, v?y thôi",BYD M6,Brand Perception,Country of Origin Image,Negative,0.95,False,OK,True,"I don't like Chinese cars, that's it.",ok,auto
2e9274d7-486a-432a-aeb2-ec67171fb99c,mình n?u mua thi ko b gi? mua xe tàu,BYD M6,Brand Perception,Country of Origin Image,Negative,0.95,False,OK,True,"If I buy it, there's no problem? Buying a junk car?",ok,auto
b4541d99-4d4f-42d4-b127-6bbbbd941a1c,h? không nói n?u pin h? thì mua bao nhiêu ti?n. th?y nói bán g?n b?ng n?a giá xe.,BYD M6,Value Perception,Battery Replacement Cost,Negative,0.95,False,OK,True,"They don't say if the battery fails, how much it costs to buy. They say sold at nearly half the car price.",ok,auto
563954d7-6ed6-494a-8590-d9401793ed4f,Bán cái xe k có tr?m s?c,BYD M6,Value Perception,Charging Infrastructure,Negative,0.7,False,OK,True,Sell the car without a charging station?,ok,auto
5b9be943-d27a-4484-aa58-87a9847e9880,tùy chân ông ?i th? nào nhi?u ông ?i g?n 500km c?ng ???c nhé,BYD M6,Powertrain / Performance,Battery Range,Positive,0.85,False,OK,True,It depends on how you drive; many people can get nearly 500km as well.,ok,auto
2d27aeb8-161d-4d76-a283-46309c009b5f,Ch?a c?n thi?t ! Ch?a ??t cho các hãng khác s?ng n?a !,BYD M6,Value Perception,Competitor Comparison,Negative,0.9,False,OK,True,Not necessary yet! No need to order for other brands to survive anymore!,ok,auto
1edf1950-ee98-4812-ad62-3086c8aeeba6,@VietnamRoadTrip v?n ?? mình ?i xa thì s?c t?i nhà ki?u gì,BYD M6,Powertrain / Performance,Home Charging,Negative,0.85,False,OK,True,"@VietnamRoadTrip the problem is, when I go far, how do I charge at home?",ok,auto
ed16c74c-8014-48e0-8821-a6f62b1ab4a6,"Mình ? Nha Trang, BYD khi nào có showroom ? Nha Trang nh?? Mu?n mua mà lo m?i l?n thay ?? ph?i vào SG",BYD M6,Brand Perception,Dealer Network,Negative,0.95,False,OK,True,"I’m in Nha Trang. When will BYD have a showroom here? Nha Trang, right? I want to buy, but I’m worried that every time I need to replace parts, I have to go to Saigon.",ok,auto
a6498616-7ee9-434a-881e-d30677192565,XE 7 CH? TH?C D?NG NH? V?Y MÀ VINFAT L?I KHÔNG LÀM,BYD M6,Comfort & Space; Value Perception,Cabin Space; Competitor Comparison,Positive,0.875,False,OK,True,"A practical 7-seater car like that, yet VinFast doesn't make it.",ok,auto
16e3ad37-3efb-4224-b511-538ad1afda69,"D?, cái bác chia s? thì ?úng, nh?ng em ngh? ?ó là th?i tr??c r?i, gi? các hãng TQ em th?y h? c?ng ??u t? và phát tri?n t",BYD M6,Brand Perception,Brand Trust,Positive,0.9,False,OK,True,"Yes, what you shared is correct, but I think that's in the past now. Nowadays, I see that Chinese brands are also investing and expanding globally, so I'm starting to trust them tentatively. Of course, we still need to wait a bit longer before we can say for sure, right?",ok,auto
153cbd8b-105a-44bb-83a2-193e510e3ab4,"Cái này ?úng là hên xui, FIAT, Renault, MG c?ng rút lui luôn và nghe nói s? tr? l?i",BYD M6,Brand Perception,Brand Trust,Neutral,0.4,False,LOW_CONFIDENCE,True,"This is really hit or miss; FIAT, Renault, and MG all pulled out completely, and I heard they'll come back.",ok,auto
25335ca9-eef1-4aa3-9db8-15868c3a372f,"2 xe có 2 ??n v? ?o khác nhau. Byd M6 dùng chu?n NEDC, còn VF7s dùng WLTP",BYD M6,Powertrain / Performance,Battery Range,Neutral,0.6,False,LOW_CONFIDENCE,True,"The two cars have two different units of measurement. The BYD M6 uses the NEDC standard, while the VF7s uses WLTP.",ok,auto
a2fe750d-b54e-4892-b5e2-ceaa85a8f9ad,"M?t vài n?m t?i khi công ngh? PIN phát tri?n, n?u t?m ?i 1 l?n s?c ??y lên t?i 1 nghìn km ch?ng h?n, khi ?ó bài toán tr?",BYD M6,New Tech; Powertrain / Performance,Battery Technology; Battery Range,Neutral,0.8,False,OK,True,"In a few years when battery technology develops, if the range per full charge reaches up to 1,000 km for example, then the problem of charging stations will no longer be important!",ok,auto
e2160449-faa3-42cc-b4bf-751479b72a28,"Nghe nói BYD s? có chi?c xe Tang v? VN, ko bik khi nào",BYD M6,Brand Perception,Brand Image,Neutral,0.8,False,OK,True,"Heard that BYD will bring the Tang to Vietnam, not sure when.",ok,auto
0d9f4eff-e600-452a-b833-a6ff1cac5563,H? ???c chính ph? ?u ?ãi + s?n xu?t s? l??ng l?n nên giá r? h?n Vf là d? hi?u mà b,BYD M6,Value Perception,Price,Positive,0.9,False,OK,True,"They received government incentives and mass production, so the price is cheaper than Vf — that's easy to understand, bro.",ok,auto
0cd502df-c924-431c-ab54-ffe441fa5e6a,Quan tr?ng là b?o d??ng... X?c PIN.... ?? th?...,BYD M6,Value Perception; Powertrain / Performance,Maintenance Cost; Battery Range,Negative,0.6,False,LOW_CONFIDENCE,True,Important is maintenance... Charge battery... Stop and look...,ok,auto
0b2dec25-5f7b-4a61-bfe9-93331133162d,Không ph?i vô c? mà M? xem TQ là ??i th? s? 1 c?a nó. Vi?t Nam mình không có c?a gì ?? so sánh v?i TQ v? khoa h?c và côn,BYD M6,Brand Perception,Country of Origin Image,Positive,0.9,False,OK,True,"It's not without reason that the US considers China its number one rival. We in Vietnam have no chance to compare with China in science and technology. Sometimes, as an informed person, you have to remind yourself—you can't say otherwise.",ok,auto
e07f227d-c9e7-48ea-8e67-1b45240ec87a,"d?ch v? mà 7 tr?m r?i giá cao nh?, t?m d??i 600 thì c?nh tranh ok ch? cao th? này c?ng c?ng quá.",BYD M6,Value Perception,Price,Negative,0.9,False,OK,True,"Service at 700 is already expensive, right? Around under 600 would be competitive, but at this high price it's also too much.",ok,auto
e1814896-572d-4e64-a457-15f90c9dce66,"D?, c?m ?n bác ?ã xem và chia s? quan ?i?m cá nhân, n?u so v?i qu? ?èn h?u c?a Xforce thì ?úng là còn quá t?t ?y ch? bác",BYD M6,Styling / Design,Tail Light Design,Positive,0.95,False,OK,True,"Yes, thank you for watching and sharing your personal opinion. Compared to the rear light of the Xforce, it's actually still too good, isn't it?",ok,auto
a2047674-7759-497b-a8fc-04e676e62f96,Nh?ng ? VN thì BYD ch? là con tép,BYD M6,Brand Perception,Brand Image,Negative,0.9,False,OK,True,"But in Vietnam, BYD is just a small fry.",ok,auto
6b0a0ce6-bbe1-4a5e-bc38-68d8cdf8c561,"Pin LFP thì nó không cháy, ch? pin Li Ion NMC thì cháy h?n ?u?c.",BYD M6,Safety & ADAS,Battery Safety,Positive,0.95,False,OK,True,"LFP batteries don't catch fire, but Li-Ion NMC batteries are more prone to burning.",ok,auto
4ee97fc3-70bf-4fa6-9897-218486ab5052,"Mình ? Nh?t 4 n?m ?ã theo dõi vin t? ngày thành l?p,Luôn ?ng h? vinfas c? v? cho vin chúc bác V??ng v??n xa h?n n?a cho ",BYD M6,Brand Perception,Brand Loyalty,Negative,0.9,False,OK,True,"I have followed Vin since its founding for 4 years. I always support Vinfast and cheer for Vin. Wish Mr. Vuong to go even further, so that our Vietnam can have some pride.",ok,auto
9057df19-ae84-44d2-8d3a-015788c73b33,"@hoangthanh3896   mình tìm ko th?y clip test pin c?a ng??i Vi?t, b?n có share mình v?i",BYD M6,Powertrain / Performance,Battery Range,Neutral,0.85,False,OK,True,"@hoangthanh3896 I can't find a battery test video by Vietnamese people, can you share it with me?",ok,auto
bd3d7beb-3a7c-4657-a3d9-559a2453425d,VRT máy ?o t?c ?? có chu?n ko ? n?u là h?n 8 giây 0-100km thì nó ? b?n cao c?p 201 mã ch? b?n vi?t nam ?ang dùng là 160 ,BYD M6,Powertrain / Performance; Powertrain / Performance,Acceleration; Engine Power,Negative,0.9,False,OK,True,"Is the VRT speedometer accurate? If it's over 8 seconds for 0-100 km/h, then that's the high-end version with 201 horsepower, but the version being used in Vietnam is 160 horsepower, which is over 10 seconds.",ok,auto
74ca7935-d1dc-42b3-8e5f-b36fcaaa21f6,"D?, bác nào ch?y d?ch v? mà s?c ???c ? nhà thì dùng con này em ngh? là quá ngon ?.",BYD M6,New Tech,Home Charging Capability,Positive,0.9,False,OK,True,"Yes, for anyone who operates a service and can charge at home, I think using this one is really great.",ok,auto
4b55985a-103a-4f11-a98d-59774f8cbe32,Xe còn 1% pin v?n ?i ?c kho?ng 5-10km. Vì ??ng h? ?o ?ã tính tr? hao. 1% t??ng ???ng 5%. S? nh?t m?y ông xe còn 30% mà b,BYD M6,Powertrain / Performance,Battery Range,Positive,0.9,False,OK,True,"The car still has 1% battery left and can still run about 5-10 km. The gauge already accounts for degradation, so 1% is equivalent to 5%. I always laugh at those guys whose cars are still at 30% but only crawl 5 km before dying on the road.",ok,auto
25643809-83e2-42af-beb9-45610ae42c27,?úng tôi c?ng không thích xe tàu t?i vì tôi không có ti?n ?? mua có thích c?ng không ???c th? thôi,BYD M6,Brand Perception; Value Perception,Country of Origin Image; Affordability,Negative,0.85,False,OK,True,"We also don’t like Chinese cars because I don’t have the money to buy one—even if I wanted to, I can’t anyway.",ok,auto
784b589e-1bd8-490f-9540-80452447299e,"Xe ?i?n bán là l? l?m luôn r?i bác ?, ch? không riêng gì xe Tàu xe Ta ?âu ?.",BYD M6,Brand Perception,EV Market Demand,Positive,0.7,False,OK,True,"Electric cars are already being sold at a loss, buddy, it's not just Chinese or Vietnamese cars.",ok,auto
ef9698aa-455b-465d-913b-1542f56c623a,"D?, em th?y xu h??ng ? TQ gi? c?ng là s?c ?i?n dân d?ng t?i nhà, ch? không phát tri?n r?m r? tr?m s?c nhanh.",BYD M6,New Tech,Charging Infrastructure,Neutral,0.6,False,LOW_CONFIDENCE,True,"Yes, I see the trend in China is also home charging, not the extensive development of fast charging stations.",ok,auto
