record_id,content_original,focus_model,category,parameter,sentiment,confidence,is_wow_factor,review_flag
e66498ea-eda5-4a5d-a208-c4c774b41ba6,"Vừa coi kênh a7 tv phân tích xong Vf5 tc2 bản cởi chuồng 400tr thì ông nào chọn vf3 thì đến nể, trừ ae thật sự dư giả về",VinFast VF3,Value Perception; Value Perception,Competitor Comparison; Price,Negative,0.85,False,OK
e66498ea-eda5-4a5d-a208-c4c774b41ba6,"Vừa coi kênh a7 tv phân tích xong Vf5 tc2 bản cởi chuồng 400tr thì ông nào chọn vf3 thì đến nể, trừ ae thật sự dư giả về",Vinfast VF5,Value Perception; Value Perception,Competitor Comparison; Price,Positive,0.85,False,OK
c46f8464-052d-489e-87e2-13dc6c6f41ed,Chuẩn luôn 😂😢😅 nhà có xe rồi mua thêm chiếc chở bồ nhí đi chơi giữa đường hết pin vào nhà nghĩ mà sạc thì đc 😅😅😅,VinFast VF3,Powertrain / Performance,Battery Range,Negative,0.9,False,OK
1caec4a5-fd0e-4de2-be65-717209390adc,"Cởi chuồng thì dành cho anh em mua xe đầu thôi. Xe thứ 2,3 ngta lại k mặn mà vs con vf5 đó đâu",VinFast VF3,Value Perception,Competitor Comparison,Negative,0.9,False,OK
1caec4a5-fd0e-4de2-be65-717209390adc,"Cởi chuồng thì dành cho anh em mua xe đầu thôi. Xe thứ 2,3 ngta lại k mặn mà vs con vf5 đó đâu",Vinfast VF5,Value Perception,Target Market,Negative,0.9,False,OK
06c1eaaf-9aca-4582-8c85-e47a9ab63632,nguời ko dư giả thì ngta cũng chọn 400 hơn là 300 à mà ông nói vậy,VinFast VF3,Value Perception,Price,Negative,0.7,False,OK
00749b2b-da47-4059-a14f-3bad92e3f069,cách nhau cả 130 140 triệu đấykhông ít đâu ông ạ,VinFast VF3,Value Perception,Price,Negative,0.9,False,OK
f233520a-5f6c-4079-8c1d-b8e6fdf55ad8,Bạn cmt mình bi ngu là dc. Mở tài khoản xem có bn tiền mà xạo lozz😅😅😅,VinFast VF3,Other,General,Neutral,0.0,False,API_FAILED
d9c08eed-dd5e-453a-81e8-16f5d83621ec,Đã VF5 mà còn là bản cởi chuồng thì ko hiểu so với VF3 nnao luon ý=))) VF3 nó có tệp khách riêng bác ơi,VinFast VF3,Value Perception; Other,Competitor Comparison; Target Market,Positive,0.85,False,OK
d9c08eed-dd5e-453a-81e8-16f5d83621ec,Đã VF5 mà còn là bản cởi chuồng thì ko hiểu so với VF3 nnao luon ý=))) VF3 nó có tệp khách riêng bác ơi,Vinfast VF5,Value Perception,Competitor Comparison,Neutral,0.8,False,OK
abfa1b1c-9593-448a-a062-cfc6df2430f7,"Sớm
Muộn vf5 cũng
Có bản giá mềm. Lấh bớt khách của vf3. Vẫn còn nh ng mua vf3 vì chỉ thích xe nhỏ đi cá nhân luồn lách ",VinFast VF3,Value Perception; Value Perception; Styling / Design,Competitor Comparison; Price; Body Shape,Negative,0.8,False,MIXED_SENTIMENT
