record_id,aspect_index,category,parameter,sentiment,confidence,phrase_original,phrase_english,focus_model,is_wow_factor,review_flag
74ab6978-03e6-423e-8285-8d4970bd5619,0,Other,General,Neutral,0.0,,,Limogreen,False,OK
e946d061-82ac-4658-9338-72edbbb206bc,0,Other,General,Neutral,0.0,,,Innova,False,OK
85305381-0184-45d4-8978-e2cc6a195fe0,0,Other,General,Neutral,0.0,,,Innova,False,OK
b0be5e95-dbd1-471a-8051-93704b4ebf7b,0,Other,General Impression,Positive,0.95,Con này quá ngon,This one is very good,Innova,True,OK
206cb1e8-e64b-4a2f-ad24-a953379cc9fd,0,Other,General,Neutral,0.0,,,Innova,False,OK
3490f66e-8d72-4664-9c72-ff4625bf2ed1,0,Comfort & Space,Ride Quality,Positive,0.85,Innova 8 ghê là s??ng nh?t,Innova is awesome and the most comfortable,Toyota Innova,False,OK
dab64141-8a64-4dc6-a56b-d6b7ce85d3c8,0,Other,General,Neutral,0.0,,,Innova,False,OK
565622db-996c-4278-9fa5-321df603b953,0,Styling / Design,Exterior Design,Negative,0.8,form này ra m?t 2021 hay sao ?y nh? anh,"This design looks like it was launched in 2021 or something, right?",Innova,False,OK
5f96c341-5727-4ae7-8281-78bfab5f3f74,0,Other,General,Neutral,0.0,,,Innova,False,OK
d8ec96c5-0d35-4e01-9383-7cf6c4747098,0,Other,General,Neutral,0.0,,,Innova,False,OK
a1a9aacc-c45c-4761-babc-cb6e8a9f8551,0,Other,General,Neutral,0.0,,,Limogreen,False,OK
906e247c-7b8f-4c1c-bcaf-425aae6773f4,0,Other,General,Neutral,0.0,,,Limogreen,False,OK
779542e8-dcb9-439d-ba64-2ab7f285c060,0,Value Perception,Competitor Comparison,Positive,0.9,desti còn k innova,desti is still worse than Innova,Innova,False,OK
37604863-e992-4ce9-869e-5fe656de5780,0,Other,General,Neutral,0.0,,,Limogreen,False,OK
db1bfe40-24b4-4659-9a57-1caed70ede0b,0,Value Perception,Price,Positive,0.9,quá ngon rồi,too good,Innova,False,OK
ec7e32f4-d684-4a6a-a09e-43ed26e55977,0,Other,General,Neutral,0.0,,,Innova,False,OK
788fd40a-f9f5-4d85-8828-b72aee16acf6,0,Other,General,Neutral,0.0,,,Innova,False,OK
bac3bbc4-ab91-40a7-b2bb-ca9ab6e4e85a,0,Other,General,Neutral,0.0,,,Honda CRV,False,OK
b0652c65-8f16-4446-9018-c545a1fd3645,0,Other,General,Neutral,0.0,,,Limogreen,False,OK
d2bbfdf2-a83b-445c-baac-ad46b49355b3,0,Powertrain / Performance,Engine Power,Positive,0.95,c? máy 2.0 b?n,has a 2.0 engine version,Innova,False,OK
1dc24d73-45ad-4e7e-bf90-0d63fd72647d,0,Other,General,Neutral,0.0,,,Innova,False,OK
5d945953-897d-4585-a6f3-2d503524157f,0,Other,General,Neutral,0.0,,,Innova,False,OK
57e376cf-82f1-4a8d-8f99-07b0d17729ba,0,Other,General,Neutral,0.0,,,Innova,False,OK
65428f3e-ad06-4df4-8ca7-50b3392934d4,0,Powertrain / Performance,Cruising RPM,Positive,0.95,100km mà vòng tua chưa đến 2 ngàn,100 km/h with RPM below 2000,Innova,False,OK
93322feb-5366-4c81-9221-33db8920f727,0,Comfort & Space,Seat Comfort,Positive,0.9,xpander ng?i ch?t l?m,Xpander seat is very uncomfortable,Innova,False,OK
22a4d2b1-e0b7-42b4-bf53-9a6ec49e5af9,0,Other,General Impression,Positive,0.9,Kết xe Toyota innova Cross,Like the Toyota Innova Cross,Toyota Innova,False,MIXED_SENTIMENT
22a4d2b1-e0b7-42b4-bf53-9a6ec49e5af9,1,Value Perception,Price,Negative,0.8,chưa đủ tiền để mua,not enough money to buy,Toyota Innova,False,MIXED_SENTIMENT
71351742-c370-43e1-875b-7b45847a6e9d,0,Other,General,Neutral,0.0,,,Innova,False,OK
4ec157fe-2b6c-4366-a033-8eb619b466cd,0,Safety & ADAS,Door Safety Design,Positive,0.9,Lấy mở của rất hợp lý,Door opening mechanism is very reasonable,Limogreen,False,OK
