record_id,content_original,focus_model,category,parameter,sentiment,confidence,is_wow_factor,review_flag
74ab6978-03e6-423e-8285-8d4970bd5619,"@TipcarTV  Oh, I understand the clarification now.",Limogreen,Other,General,Neutral,0.0,False,NO ASPECT | NONSUBSTANTIAL
e946d061-82ac-4658-9338-72edbbb206bc,D? c?m ?n bác ?ã theo dõi và ?ng h? clip ?! ?,Innova,Other,General,Neutral,0.0,False,NO ASPECT | NONSUBSTANTIAL
85305381-0184-45d4-8978-e2cc6a195fe0,Hy v?ng nh?ng tr?i nghi?m này giúp ích cho bác trong các chuy?n du l?ch t? túc s?p t?i!,Innova,Other,General,Neutral,0.0,False,NO ASPECT | NONSUBSTANTIAL
b0be5e95-dbd1-471a-8051-93704b4ebf7b,Con này quá ngon,Innova,Other,General Impression,Positive,0.95,True,OK
206cb1e8-e64b-4a2f-ad24-a953379cc9fd,video r?t giá tr? tham kh?o ?? ?i du l?ch t? túc,Innova,Other,General,Neutral,0.0,False,NO ASPECT | NONSUBSTANTIAL
3490f66e-8d72-4664-9c72-ff4625bf2ed1,Innova 8 ghê là s??ng nh?t,Toyota Innova,Comfort & Space,Ride Quality,Positive,0.85,False,OK
dab64141-8a64-4dc6-a56b-d6b7ce85d3c8,bác c?ng vào ?ây xem song song à ;)) em ?oán nhi?u ng??i gi?ng bác và em,Innova,Other,General,Neutral,0.0,False,NO ASPECT | NONSUBSTANTIAL
565622db-996c-4278-9fa5-321df603b953,form này ra m?t 2021 hay sao ?y nh? anh,Innova,Styling / Design,Exterior Design,Negative,0.8,False,OK
5f96c341-5727-4ae7-8281-78bfab5f3f74,tipcar ?ánh giá xe r?t ch?t l??ng và chân th?c,Innova,Other,General,Neutral,0.0,False,NO ASPECT | NONSUBSTANTIAL
d8ec96c5-0d35-4e01-9383-7cf6c4747098,"Hì, m?i ng??i m?i quan ?i?m thôi bác, k? h?, haizzz. Bác không th? gi?i thích ???c ?âu ?",Innova,Other,General,Neutral,0.0,False,NO ASPECT | NONSUBSTANTIAL
a1a9aacc-c45c-4761-babc-cb6e8a9f8551,"?ánh giá không công tâm ,  ai c?ng vì ti?n thôi , b? theo dõi kênh",Limogreen,Other,General,Neutral,0.0,False,NO ASPECT | NONSUBSTANTIAL
906e247c-7b8f-4c1c-bcaf-425aae6773f4,"Vâng, có lý, v?i nh?ng ng??i ý th?c kém bác ?.",Limogreen,Other,General,Neutral,0.0,False,NO ASPECT | NONSUBSTANTIAL
779542e8-dcb9-439d-ba64-2ab7f285c060,Tr? ch?c ch?n desti còn k innova,Innova,Value Perception,Competitor Comparison,Positive,0.9,False,OK
37604863-e992-4ce9-869e-5fe656de5780,Qua video Này tôi c?n ph?i xem xét l?i ?? tin c?y c?a mình v? kênh Tipca.? Các b?n có cùng nh?n ??nh v?i tôi không?,Limogreen,Other,General,Neutral,0.0,False,NO ASPECT | NONSUBSTANTIAL
db1bfe40-24b4-4659-9a57-1caed70ede0b,Gi? còn 730tr ph?i không shop? V?y quá ngon r?i,Innova,Value Perception,Price,Positive,0.9,False,OK
ec7e32f4-d684-4a6a-a09e-43ed26e55977,Nào anh làm so sáng vs. Détinator nhé a,Innova,Other,General,Neutral,0.0,False,NO ASPECT | NONSUBSTANTIAL
788fd40a-f9f5-4d85-8828-b72aee16acf6,"D? c?m ?n bác góp ý, góc quay l?n sau t?i em s? chú ý cân ch?nh ánh sáng h?n ?",Innova,Other,General,Neutral,0.0,False,NO ASPECT | NONSUBSTANTIAL
bac3bbc4-ab91-40a7-b2bb-ca9ab6e4e85a,"Mình ?ang phân vân con này và CRV b?n L, nh? admin t? v?n giúp, gia ?ình 5 ng??i",Honda CRV,Other,General,Neutral,0.0,False,NO ASPECT | NONSUBSTANTIAL
