record_id,content_original,focus_model,category,parameter,sentiment,confidence,is_wow_factor,review_flag,is_substantial,content_english,translation_status,translation_source
e66498ea-eda5-4a5d-a208-c4c774b41ba6,"Vừa coi kênh a7 tv phân tích xong Vf5 tc2 bản cởi chuồng 400tr thì ông nào chọn vf3 thì đến nể, trừ ae thật sự dư giả về",VinFast VF3,Value Perception; Value Perception,Competitor Comparison; Price,Negative,0.85,False,OK,True,"Just watched channel a7 tv and finished analyzing the Vf5 tc2 version with the price of 400 million, whoever chooses vf3 will be respected, unless you really have enough money to buy tc😂",ok,auto
e66498ea-eda5-4a5d-a208-c4c774b41ba6,"Vừa coi kênh a7 tv phân tích xong Vf5 tc2 bản cởi chuồng 400tr thì ông nào chọn vf3 thì đến nể, trừ ae thật sự dư giả về",Vinfast VF5,Value Perception; Value Perception,Competitor Comparison; Price,Positive,0.85,False,OK,True,"Just watched channel a7 tv and finished analyzing the Vf5 tc2 version with the price of 400 million, whoever chooses vf3 will be respected, unless you really have enough money to buy tc😂",ok,auto
c46f8464-052d-489e-87e2-13dc6c6f41ed,Chuẩn luôn 😂😢😅 nhà có xe rồi mua thêm chiếc chở bồ nhí đi chơi giữa đường hết pin vào nhà nghĩ mà sạc thì đc 😅😅😅,VinFast VF3,Powertrain / Performance,Battery Range,Negative,0.9,False,OK,True,That's right 😂😢😅 we have a car so we bought another one to take our girlfriend out on the road and the battery ran out when we thought we could charge it at home 😅😅😅,ok,auto
1caec4a5-fd0e-4de2-be65-717209390adc,"Cởi chuồng thì dành cho anh em mua xe đầu thôi. Xe thứ 2,3 ngta lại k mặn mà vs con vf5 đó đâu",VinFast VF3,Value Perception,Competitor Comparison,Negative,0.9,False,OK,True,Taking off the barn is only for those who buy the first car. The 2nd and 3rd car is not interested in that vf5,ok,auto
1caec4a5-fd0e-4de2-be65-717209390adc,"Cởi chuồng thì dành cho anh em mua xe đầu thôi. Xe thứ 2,3 ngta lại k mặn mà vs con vf5 đó đâu",Vinfast VF5,Value Perception,Target Market,Negative,0.9,False,OK,True,Taking off the barn is only for those who buy the first car. The 2nd and 3rd car is not interested in that vf5,ok,auto
06c1eaaf-9aca-4582-8c85-e47a9ab63632,nguời ko dư giả thì ngta cũng chọn 400 hơn là 300 à mà ông nói vậy,VinFast VF3,Value Perception,Price,Negative,0.7,False,OK,True,"People who don't have enough money still choose 400 rather than 300, you said",ok,auto
00749b2b-da47-4059-a14f-3bad92e3f069,cách nhau cả 130 140 triệu đấykhông ít đâu ông ạ,VinFast VF3,Value Perception,Price,Negative,0.9,False,OK,True,"The difference is 130 to 140 million, not much, sir",ok,auto
d9c08eed-dd5e-453a-81e8-16f5d83621ec,Đã VF5 mà còn là bản cởi chuồng thì ko hiểu so với VF3 nnao luon ý=))) VF3 nó có tệp khách riêng bác ơi,VinFast VF3,Value Perception; Other,Competitor Comparison; Target Market,Positive,0.85,False,OK,True,"Even though it's VF5, it's still an unmodified version, so I don't understand how it compares to VF3. =))) VF3 has its own client file.",ok,auto
d9c08eed-dd5e-453a-81e8-16f5d83621ec,Đã VF5 mà còn là bản cởi chuồng thì ko hiểu so với VF3 nnao luon ý=))) VF3 nó có tệp khách riêng bác ơi,Vinfast VF5,Value Perception,Competitor Comparison,Neutral,0.8,False,OK,True,"Even though it's VF5, it's still an unmodified version, so I don't understand how it compares to VF3. =))) VF3 has its own client file.",ok,auto
abfa1b1c-9593-448a-a062-cfc6df2430f7,"Sớm
Muộn vf5 cũng
Có bản giá mềm. Lấh bớt khách của vf3. Vẫn còn nh ng mua vf3 vì chỉ thích xe nhỏ đi cá nhân luồn lách ",VinFast VF3,Value Perception; Value Perception; Styling / Design,Competitor Comparison; Price; Body Shape,Negative,0.8,False,MIXED_SENTIMENT,True,"Soon
Late vf5 also
There is a cheap version. Take away vf3's customers. There are still people who buy VF3 because they only like small cars for personal use and getting around, so they still buy it.",ok,auto
abfa1b1c-9593-448a-a062-cfc6df2430f7,"Sớm
Muộn vf5 cũng
Có bản giá mềm. Lấh bớt khách của vf3. Vẫn còn nh ng mua vf3 vì chỉ thích xe nhỏ đi cá nhân luồn lách ",Vinfast VF5,Value Perception; Value Perception,Price; Competitor Comparison,Positive,0.75,False,OK,True,"Soon
Late vf5 also
There is a cheap version. Take away vf3's customers. There are still people who buy VF3 because they only like small cars for personal use and getting around, so they still buy it.",ok,auto
07400822-032f-4ae5-a5a6-8a0cded9e658,"xe này tính là 2 hàng hay 1 hàng ạ, nếu bé nhỏ 6 tháng muốn ngồi hàng ghế trước được không ạ?",VinFast VF3,Comfort & Space; Comfort & Space,Seat Configuration; Cabin Space,Neutral,0.85,False,OK,True,"Is this car considered 2 rows or 1 row? If my baby is 6 months old, can he sit in the front row?",ok,auto
8dfd1003-41cc-4315-a947-69a09327a10b,"@XẾCỘNG vậy thì hơi bất tiện cho mẹ rồi ạ, hàng sau có lắp được ghế an toàn không ạ",VinFast VF3,Comfort & Space,Rear Seat Child Seat Compatibility,Negative,0.9,False,OK,True,"@XECONG that's a bit inconvenient for mom, can the back row install safety seats?",ok,auto
2cbf2e18-76ea-4d23-9001-2da6ed37d026,Điều hòa có chỉnh dc ko😅,VinFast VF3,Comfort & Space,Air Conditioning,Neutral,0.9,False,OK,True,Can the air conditioner be adjusted?,ok,auto
f9251f24-44da-45a1-b324-2bc3d64dbe49,VF5 cần thay đèn hậu có sáng đèn đỏ mà ko cần phanh khi đi buổi tối. Sẽ hữu ích cho xe sau bám đuôi hoặc tránh xe khi đi,VinFast VF3,Safety & ADAS,Tail Light Design,Negative,0.9,False,OK,True,VF5 needs to change the tail light to have a red light without needing to brake when driving at night. It will be useful for following vehicles to follow or avoid vehicles on the highway.,ok,auto
f9251f24-44da-45a1-b324-2bc3d64dbe49,VF5 cần thay đèn hậu có sáng đèn đỏ mà ko cần phanh khi đi buổi tối. Sẽ hữu ích cho xe sau bám đuôi hoặc tránh xe khi đi,Vinfast VF5,Safety & ADAS,Tail Light Design,Negative,0.9,False,OK,True,VF5 needs to change the tail light to have a red light without needing to brake when driving at night. It will be useful for following vehicles to follow or avoid vehicles on the highway.,ok,auto
2e7f5102-4db7-4355-9263-d2f992873e77,mua để được tiếng yêu nước,VinFast VF3,Brand Perception,Country of Origin Image,Positive,0.9,False,OK,True,Buy to be patriotic,ok,auto
