record_id,content_original,focus_model,category,parameter,sentiment,confidence,is_wow_factor,review_flag,is_substantial,content_english,translation_status,translation_source
4fa740f5-9331-4c83-a823-48f5d11b157e,Nh? may có vi?c c?n bán thì xe Toyota c?ng gi? giá ph?t ?y,Toyota Yaris Cross,Value Perception,Resale Value,Positive,0.95,False,OK,True,"If you happen to need to sell it, Toyota cars also hold their value quite well.",ok,auto
39a07cc6-b090-4b4d-b789-0ff2368b1cc1,??ng c? 1.5 có y?u nh? Xpander ko nh?.,Kia Seltos,Powertrain / Performance,Engine Power,Negative,0.9,False,OK,True,Is the 1.5 engine as weak as the Xpander?,ok,auto
8ef747d4-a8f5-40d7-8ab2-84ca4867e02f,@VietnamRoadTrip  V?y t?i sao nó ko bán ch?y ? VN ?ó bác. ng??i VN tin Toy nhi?u h?n Mit.,Toyota Yaris Cross,Brand Perception,Brand Trust,Positive,0.95,False,OK,True,"@VietnamRoadTrip So why doesn't it sell well in Vietnam, sir? Vietnamese people trust Toyota more than Mitsubishi.",ok,auto
92dfa341-5cfe-494d-b888-fadc481b109b,Tôi ch?n Kona vì thích nh?ng cái truy?n th?ng,Kia Seltos,Brand Perception,Brand Image,Negative,0.9,False,OK,True,I chose the Kona because I like the traditional ones.,ok,auto
476de7fa-e156-4e75-a0b5-ddbd2998707d,"H?i ti?c ko có b?n 1.5 Turbo 

Kenz",Creta,Powertrain / Performance,Engine Options,Negative,0.9,False,OK,True,Regret not having the 1.5 Turbo version. Kenz,ok,auto
8c5dd6d9-ce33-4ff2-83b0-a1e9598adfc5,Quan tr?ng là ng??i ta c?n gì ! Bây gi? khách hàng ng??i ta thích xe nhi?u options công ngh? thì CX5 v?i Ford Tàu làm gì,Mazda CX 5,New Tech,Tech Features,Negative,0.95,False,OK,True,"What matters is what people need! Nowadays, customers prefer cars with lots of tech features, so what do the CX-5 or Chinese Ford have to offer?",ok,auto
c8b0c2ce-85b6-4cf2-8015-2c59636c7ef0,Con này v?i hrv thì con nào c?m giác tót h?n h? anh?,Creta,Value Perception,Competitor Comparison,Neutral,1.0,False,OK,True,"This one or the HRV, which one feels better, bro?",ok,auto
7480fac1-c909-4f88-981c-59d9c36d878d,"M?i cái có hay d? riêng bác ?, có cái h?n cái thua, bác thích m?u nào h?n thì mua m?u ?ó ?. Creta thì em không thích ki?",Creta,Styling / Design,Exterior Design,Negative,0.95,False,OK,True,"Each one has its own pros and cons, some better, some worse. If you prefer a certain model, just buy that one. As for the Creta, I don't really like its exterior design.",ok,auto
d0311a45-e9db-453e-bd61-f9d9a611085e,"Mình l?i thích ?uôi, nhìn l? m?t",Creta,Styling / Design,Rear Design,Positive,0.8,False,OK,True,"I like the tail, it looks unique.",ok,auto
3b73dcc3-7359-437a-9d58-4308a59ef90b,Ngáo giá. Giá Nline thì Nên mua xe h?nh C là CX5 và ford teri,Creta,Value Perception; Value Perception,Price; Competitor Comparison,Negative,0.875,False,OK,True,"Crazy pricing. For the price of the N Line, you should buy a C-segment car like the CX-5 and Ford Territory.",ok,auto
82e35275-64bf-4d3c-bfd1-019e76374e7c,Cao m8 thì seltos d??i m8 thì kona th? cho kh?e ng??i,Kia Seltos,Comfort & Space,Cabin Space,Positive,0.9,False,OK,True,"If you have a higher budget, go for the Seltos; if lower, get the Kona — it’s simpler and better for you.",ok,auto
