record_id,aspect_index,category,parameter,sentiment,confidence,phrase_original,phrase_english,focus_model,is_wow_factor,review_flag,is_substantial,wow_factor_score,wow_score_tier,engagement_score
f345c124-3ccc-4379-8060-fd8d7cf970c6,0,Powertrain / Performance,Engine Reliability,Negative,0.9,seal kruk as udah rusak jadi oli keluar,crankshaft seal is damaged causing oil leak,Toyota Avanza,False,OK,True,8.36,LOW,16.72
7492e522-d37d-46fc-a149-b993acfb4c79,0,Other,Maintenance,Neutral,0.8,periksa dulu dudukan saringan oli berangkali O oringnya sudah oblak atau kalah,"check the oil filter housing, maybe the O-ring is loose or worn out",Toyota Avanza,False,OK,False,,,
f032c179-67fb-4b2f-8ae6-795e540c5817,0,Other,Oil Leak Concern,Negative,0.9,"Mau di paksa tutup itu lubang, nanti oli ny kmana mana menyebabkan komponen yang seharusnya tidak boleh kena oli.","If forced to close that hole, the oil will go everywhere, causing components that should not get oil to be exposed.",Toyota Avanza,False,OK,False,,,
4174d1ea-fbad-44f2-b4df-91c531702812,0,Other,Seal,Neutral,0.9,Seal krukas belakang atau bisa juga seal input,Rear crankshaft seal or could also be input seal,Toyota Avanza,False,OK,False,,,
06cfb527-350a-40b6-a5ec-f9cfc2b39076,0,Powertrain / Performance,Durability,Positive,0.9,belum ada rembes/netes oli KM 240rb,no oil leaks at 240k km,Toyota Avanza,False,OK,True,42.5,MEDIUM,0.0
06cfb527-350a-40b6-a5ec-f9cfc2b39076,1,Value Perception,Maintenance Cost,Positive,0.8,Service rutin di BeRes,regular service at authorized dealer,Toyota Avanza,False,OK,True,42.5,MEDIUM,0.0
cdceb348-9705-426c-954b-33dea66ccbb6,0,Other,General Impression,Negative,0.7,Seal Kruk as blkg dh minta ganti,The rear seal is broken and needs replacement,Toyota Avanza,False,OK,False,,,
30dcf955-b1ab-41be-8286-93c6bd276ec9,0,Value Perception,Maintenance Cost,Negative,0.9,"sealnya sekitar 150-200 yg bagus, jasanya yg lumayan,soalnya turun maticnya sekitar 700-1.5 tergantung bengkel dan daerah","the good seal is around 150-200, the service fee is quite high because removing the transmission costs around 700-1.5 depending on the shop and area",Toyota Avanza,False,OK,True,4.18,LOW,8.36
30dcf955-b1ab-41be-8286-93c6bd276ec9,0,Other,General Impression,Neutral,0.9,"Seal kruk as biasanya,kalo yg bocor oli mesin, sealnya sekitar 150-200 yg bagus, jasanya yg lumayan,soalnya turun maticnya sekitar 700-1.5 tergantung bengkel dan daerah","Crankshaft seal usually, if engine oil leak, good seal around 150-200, service cost is moderate, because dropping transmission costs 700-1.5 depending on shop and area",Geely EX5,False,OK,False,,,
b17b0869-0c7a-42a4-9143-8f63c1fecdf9,0,Value Perception,Warranty,Positive,0.9,bisa claim warranty,can claim warranty,Toyota Avanza,False,OK,True,45.3,MEDIUM,3.09
