record_id,content_original,focus_model,category,parameter,sentiment,confidence,is_wow_factor,review_flag,is_substantial,content_english,translation_status,translation_source
f29422b1-c686-4627-bf26-f8b260ae5c6f,Thi?t k? này ý ki?n riêng là ko ??p b?ng ??i tr??c,Tucson,Styling / Design,Exterior Design,Negative,0.95,False,OK,True,"In my personal opinion, this design is not as good-looking as the previous generation.",ok,auto
7ee74b84-fa58-4c98-917c-f626e9935693,B?i v?y mình v?n ch?n huyndai,Tucson,Brand Perception,Brand Trust,Positive,0.9,False,OK,True,"Therefore, I still choose Hyundai.",ok,auto
262548cf-ae6d-4b0c-a745-54aa81ded0ba,"?úng e th?y b?n m?i ??u ko ??p, b?n c? nhìn khác bi?t ??p bao nhiêu",Tucson,Styling / Design,Exterior Design,Negative,0.9,False,OK,True,"Right, I think the new model isn't attractive at first, the old model looks so much more beautiful.",ok,auto
2ba51ecc-9b1b-4b2c-b5ec-a5f55eb95f2f,xe nay sang nam moi to vn nha,Tucson,Brand Perception,Market Availability,Positive,0.8,False,OK,True,"This car will come to Vietnam next year, right?",ok,auto
b137e536-77ca-4ecd-a1d4-af7f099edb4d,"Kia nó có mu?n bán xe ? VN n?a ?âu, giá toàn trên tr?i",Tucson,Value Perception,Competitor Comparison,Positive,0.9,False,OK,True,"Kia doesn't want to sell cars in Vietnam anymore, prices are all sky-high.",ok,auto
1b73c857-da63-4cd1-9c0e-2a8b9113b706,"B?n th?p thì mình ?oán s? kho?ng 700-800
B?n cao nh?t s? kho?ng 900-1 t?",Tucson,Value Perception,Price,Neutral,0.9,False,OK,True,"For the low version, I guess it will be around 700-800. The highest version will be around 900 to 1 billion.",ok,auto
bdd8126c-f4ae-4768-84e7-d4048ce35726,??t adass l?ch ph?i nhìn không cân ??i,Tucson,Styling / Design,Exterior Design,Negative,0.9,False,OK,True,"Place the adass skewed to the right, looks unbalanced.",ok,auto
e965d501-a176-4ba4-a01c-6a1289744d71,"em ?i con sportage vì quá t? tin vào c?nh báo va ch?m phía tr??c nên ?âm ph?i trâu qua ???ng ngay lúc ?ang ?i ??ng ki?m,",Sportage,Safety & ADAS; Safety & ADAS,Collision Avoidance; Feature Stability,Negative,0.875,False,OK,True,"I drive a Sportage, and because I trusted the forward collision warning too much, I hit a buffalo crossing the road while driving on a national highway—lost one headlight, luckily I was going slow so no damage to the chassis... I had just gotten the license plate but hadn't installed it yet :)). As for the forward collision warning, after about two weeks of driving I noticed it wasn't working reliably; it's just a support feature. Don't be like me, guys.",ok,auto
8e73ce95-9051-4cf6-9c0c-358993266cf3,Mình thì th?y Tucson thô không ??p b?ng Spot,Tucson,Styling / Design,Exterior Design,Negative,0.9,False,OK,True,I find the Tucson rough and not as good-looking as the Spot.,ok,auto
17e0e331-60d4-43da-b72d-b6eade67c48d,Nh?ng mà HUD xe c?p th?p h?n có mà con này cao h?n ko có thì c?ng th?y thi?u thi?u nh?,Tucson,New Tech,Head Up Display,Negative,0.9,False,OK,True,"But the lower-end car has HUD, while this higher-end one doesn't? That feels like something's missing, doesn't it?",ok,auto
673a454e-6c99-4b44-8169-8ed72a05dfe7,Cá nhân mình th?y ?èn pha na ná stargazer,Tucson,Styling / Design,Headlight Design,Neutral,0.7,False,OK,True,"Personally, I find the headlights similar to the Stargazer.",ok,auto
b07f6f09-f633-4dd0-85da-f95bbb8b197a,N?u nh? v?y thì b?t bu?c cx5 ph?i nâng c?p lên m?i c?nh tranh l?i,Tucson,Value Perception,Competitor Comparison,Positive,0.8,False,OK,True,"If that is the case, the CX-5 must be upgraded to compete again.",ok,auto
68a0deef-fa39-4aa9-a078-f8a0412c2ee4,xe này mà v? t?m giá 800 thì cx 5 ko bán ???c,Tucson,Value Perception,Competitor Comparison,Positive,0.9,False,OK,True,"If this car is priced at around 800, then the CX-5 can't sell.",ok,auto
d5fa9919-b7bb-43e2-87a5-4bb2a8eddd33,"Thaco b?t bu?c ph?i mang v? thôi, CX5 gi? không có cách nào ??y doanh s? ???c r?i",Mazda CX 5,Value Perception,Competitor Comparison,Negative,0.9,False,OK,True,"Thaco is forced to bring it back, the CX5 now has no way to push sales anymore.",ok,auto
8b0a6650-8f47-44a1-9219-e2955384cd14,"Huyndai và kia nên xem l?i b? ph?n tai lái, vì không êm, không ??m, không ?n ??nh nh? xe nh?t",Tucson,Comfort & Space,NVH,Negative,0.9,False,OK,True,"Hyundai and Kia should review their steering system, because it's not smooth, not stable, and not as steady as Japanese cars.",ok,auto
18af8611-c3ad-402c-b877-95ba0c561e10,@unganker6905  ch?c nhìn lâu thì s? ??p kk,Tucson,Styling / Design,Exterior Design,Positive,0.7,False,OK,True,@unganker6905 probably if you look at it long enough it'll be pretty lol,ok,auto
7f613b48-8185-41b9-9434-e40e05216e7b,C? cái radar ? tr??c xe n?a t? nhiên l?ch m? 1 bên . Khó ch?u vô cùng,Tucson,Safety & ADAS,Parking Sensor,Negative,0.95,False,OK,True,And the front radar suddenly tilted to one side. Extremely annoying.,ok,auto
ee4c4423-57b3-4217-82ef-80cba21db930,?èn sau gi?ng mec ??i tr??c thì gi?ng porsche,Tucson,Styling / Design,Exterior Design,Positive,0.9,False,OK,True,The rear lights look like the previous generation Mercedes and then like a Porsche.,ok,auto
a3720651-8102-4afe-a84f-0858a44ecd79,@autodaily_review  sao k l?p black view ?,Tucson,New Tech,Black View Camera,Negative,0.7,False,OK,True,@autodaily_review why don't you install black view?,ok,auto
ea4b2251-f0be-4977-99f9-bf079abee6e6,B?n tiêu chu?n l?n bánh 850t là v?a mi?ng,Tucson,Styling / Design,Wheel Design,Positive,0.7,False,OK,True,Four standards of the 850T tire are just right.,ok,auto
87a9e6bb-035f-44da-9207-391b251edfc3,Y chang t th?y. Khó ch?u,Tucson,Comfort & Space,Seat Comfort,Negative,0.9,False,OK,True,Exactly as I see. Uncomfortable.,ok,auto
d5fa9919-b7bb-43e2-87a5-4bb2a8eddd33,"Thaco b?t bu?c ph?i mang v? thôi, CX5 gi? không có cách nào ??y doanh s? ???c r?i",Tucson,Value Perception,Competitor Comparison,Positive,0.7,False,OK,True,"Thaco has no choice but to bring it back now, the CX5 has no way to boost sales anymore.",ok,auto
7cb6cc1b-d9c4-43eb-a619-8750df960c42,20% là quá nhi?u ?ó bác..??n gi?n 1 t? mà 20% là quá ok,Tucson,Value Perception,Price,Positive,0.85,False,OK,True,"20% is too much, sir.. just one word and 20% is perfectly fine.",ok,auto
673a454e-6c99-4b44-8169-8ed72a05dfe7,Cá nhân mình th?y ?èn pha na ná stargazer,Stargazer,Styling / Design,Headlight Design,Neutral,0.9,False,OK,True,"Personally, I think the headlights are kinda like the Stargazer.",ok,auto
ba4d9942-889c-4e07-bea0-d00d8172d785,VinFast có c?n m?i thi?t k? c?a kia v? làm k ch? tôi th?y VinFast thi?t k? chán quá,Tucson,Styling / Design,Exterior Design,Positive,0.9,False,OK,True,Does VinFast need to borrow Kia's designs or something? I think VinFast's designs are really boring.,ok,auto
