record_id,aspect_index,category,parameter,sentiment,confidence,phrase_original,phrase_english,focus_model,is_wow_factor,review_flag,is_substantial,wow_factor_score,wow_score_tier,engagement_score
e66498ea-eda5-4a5d-a208-c4c774b41ba6,0,Value Perception,Price,Negative,0.9,Vf5 tc2 bản cởi chuồng 400tr thì ông nào chọn vf3 thì đến nể,"VF5 stripped version at 400 million, anyone choosing VF3 is admirable",VinFast VF3,False,OK,True,11.88,LOW,23.76
e66498ea-eda5-4a5d-a208-c4c774b41ba6,1,Value Perception,Competitor Comparison,Negative,0.85,trừ ae thật sự dư giả về tc,except for those who are truly financially comfortable,VinFast VF3,False,OK,True,11.88,LOW,23.76
c46f8464-052d-489e-87e2-13dc6c6f41ed,0,Other,Ownership Experience,Positive,0.7,nhà có xe rồi mua thêm chiếc chở bồ nhí đi chơi,"already have a car at home, buy another to take mistress out",VinFast VF3,False,MIXED_SENTIMENT,True,11.25,LOW,0.0
c46f8464-052d-489e-87e2-13dc6c6f41ed,1,Powertrain / Performance,Battery Range,Negative,0.8,giữa đường hết pin vào nhà nghĩ mà sạc thì đc,"run out of battery on the way, can charge at motel",VinFast VF3,False,MIXED_SENTIMENT,True,11.25,LOW,0.0
1caec4a5-fd0e-4de2-be65-717209390adc,0,Value Perception,Target Market,Negative,0.9,"Cởi chuồng thì dành cho anh em mua xe đầu thôi. Xe thứ 2,3 ngta lại k mặn mà vs con vf5 đó đâu",First-time buyers only; second or third car buyers won't be interested in the VF5,VinFast VF3,False,OK,True,3.1,LOW,6.19
06c1eaaf-9aca-4582-8c85-e47a9ab63632,0,Value Perception,Competitor Comparison,Negative,0.8,nguời ko dư giả thì ngta cũng chọn 400 hơn là 300,People with limited budget would choose 400 over 300,VinFast VF3,False,OK,True,0.0,LOW,0.0
00749b2b-da47-4059-a14f-3bad92e3f069,0,Value Perception,Price,Negative,0.9,cách nhau cả 130 140 triệu đấy,a difference of 130-140 million VND,VinFast VF3,False,OK,True,4.91,LOW,9.81
f233520a-5f6c-4079-8c1d-b8e6fdf55ad8,0,Other,General,Neutral,0.0,,,VinFast VF3,False,OK,False,,,
d9c08eed-dd5e-453a-81e8-16f5d83621ec,0,Value Perception,Competitor Comparison,Positive,0.9,VF3 nó có tệp khách riêng bác ơi,"VF3 has its own customer segment, bro",VinFast VF3,False,OK,True,45.0,MEDIUM,0.0
abfa1b1c-9593-448a-a062-cfc6df2430f7,0,Value Perception,Price,Negative,0.8,Sớm Muộn vf5 cũng Có bản giá mềm. Lấh bớt khách của vf3.,"Sooner or later VF5 will have a soft price version, taking away customers from VF3.",VinFast VF3,False,MIXED_SENTIMENT,True,11.25,LOW,0.0
abfa1b1c-9593-448a-a062-cfc6df2430f7,1,Styling / Design,Body Shape,Positive,0.7,vẫn còn nh ng mua vf3 vì chỉ thích xe nhỏ đi cá nhân luồn lách đi gần thì vẫn mua.,"Some still buy VF3 because they like small cars for personal use, weaving through traffic for short trips.",VinFast VF3,False,MIXED_SENTIMENT,True,11.25,LOW,0.0
07400822-032f-4ae5-a5a6-8a0cded9e658,0,Comfort & Space,Seat Configuration,Neutral,0.9,xe này tính là 2 hàng hay 1 hàng ạ,Is this car 2 rows or 1 row?,VinFast VF3,False,OK,True,18.88,LOW,12.27
07400822-032f-4ae5-a5a6-8a0cded9e658,1,Comfort & Space,Cabin Space,Neutral,0.8,nếu bé nhỏ 6 tháng muốn ngồi hàng ghế trước được không ạ,"If a small 6-month-old baby wants to sit in the front row, is that allowed?",VinFast VF3,False,OK,True,18.88,LOW,12.27
06efe5fd-69e3-400b-b929-537413b78b07,0,Other,General Impression,Neutral,0.8,Sau 1/7 k đc b nhé,"After 1/7, not allowed, okay",VinFast VF3,False,OK,False,,,
8dfd1003-41cc-4315-a947-69a09327a10b,0,Comfort & Space,Cabin Space,Negative,0.8,hơi bất tiện cho mẹ rồi ạ,a bit inconvenient for mom,VinFast VF3,False,OK,True,11.25,LOW,0.0
8dfd1003-41cc-4315-a947-69a09327a10b,1,Comfort & Space,Child Seat Compatibility,Neutral,0.7,hàng sau có lắp được ghế an toàn không ạ,can the rear row install a safety seat,VinFast VF3,False,OK,True,11.25,LOW,0.0
2cbf2e18-76ea-4d23-9001-2da6ed37d026,0,Comfort & Space,Air Conditioning,Neutral,0.7,Điều hòa có chỉnh dc ko😅,Can the air conditioner be adjusted?,VinFast VF3,False,OK,True,15.14,LOW,9.28
bd6934d1-0976-44a2-8532-6eda83d8a798,0,Other,General Impression,Neutral,0.9,Nhóm cập nhật và tư vấn mua xe của Xế Cộng,Group for car purchase updates and advice from Xe Cong,VinFast VF3,False,OK,False,,,
db833a97-7523-4d1a-8013-5e94d944e8ca,0,Other,Purchase Inquiry,Neutral,0.9,Mún đặt xe o2o thì nhắn cho anh hay sao ạ,"Want to order the car via O2O, should I message you or how?",VinFast VF3,False,OK,False,,,
e36daf9a-8b36-4dad-b8b7-081216b94527,0,Other,Ownership Experience,Positive,0.7,Vào nhóm rồi cần gì báo anh em hỗ trợ b nhé,"Joined the group, no need to report, brothers will support you",VinFast VF3,False,OK,False,,,
f9251f24-44da-45a1-b324-2bc3d64dbe49,0,Styling / Design,Tail Light Design,Negative,0.9,VF5 cần thay đèn hậu có sáng đèn đỏ mà ko cần phanh khi đi buổi tối,VF5 needs to change the tail light to have red light without braking when driving at night,VinFast VF3,False,MIXED_SENTIMENT,True,12.75,LOW,0.0
f9251f24-44da-45a1-b324-2bc3d64dbe49,1,Safety & ADAS,Visibility,Positive,0.8,Sẽ hữu ích cho xe sau bám đuôi hoặc tránh xe khi đi cao tốc,Will be useful for following cars or avoiding cars on the highway,VinFast VF3,False,MIXED_SENTIMENT,True,12.75,LOW,0.0
2e7f5102-4db7-4355-9263-d2f992873e77,0,Brand Perception,Country of Origin Image,Positive,0.9,mua để được tiếng yêu nước,buy to get the reputation of loving the country,VinFast VF3,False,OK,True,49.64,MEDIUM,9.28
1463816f-02bf-4afe-b26e-379fc2510c8b,0,Brand Perception,Brand Image,Positive,0.7,Chả ai nói thế ngoài mấy thằng anti.,No one says that except some haters.,VinFast VF3,False,OK,True,35.0,LOW,0.0
ecb63289-5a37-43f8-ae67-107dbc22295e,0,Comfort & Space,Frunk Space,Negative,0.9,làm thêm cốp trước thì tốt hơn,adding a front trunk would be better,VinFast VF3,False,OK,True,6.19,LOW,12.38
cda20596-c574-4ed8-a94f-2e5ec7a1bfc7,0,Powertrain / Performance,Engine Power,Negative,0.9,"VF5 hơn hẳn vf3 vì khung gầm, động cơ, pin và kích thước","VF5 is far superior to VF3 in chassis, engine, battery and size",VinFast VF3,False,MIXED_SENTIMENT,True,2.25,LOW,4.51
cda20596-c574-4ed8-a94f-2e5ec7a1bfc7,1,Powertrain / Performance,Battery Range,Negative,0.9,"VF5 hơn hẳn vf3 vì khung gầm, động cơ, pin và kích thước","VF5 is far superior to VF3 in chassis, engine, battery and size",VinFast VF3,False,MIXED_SENTIMENT,True,2.25,LOW,4.51
cda20596-c574-4ed8-a94f-2e5ec7a1bfc7,2,Comfort & Space,Cabin Space,Negative,0.9,"VF5 hơn hẳn vf3 vì khung gầm, động cơ, pin và kích thước","VF5 is far superior to VF3 in chassis, engine, battery and size",VinFast VF3,False,MIXED_SENTIMENT,True,2.25,LOW,4.51
cda20596-c574-4ed8-a94f-2e5ec7a1bfc7,3,Value Perception,Competitor Comparison,Negative,0.9,"VF5 hơn hẳn vf3 vì khung gầm, động cơ, pin và kích thước. Option có thể cắt bớt nhưng cốt lõi vẫn hơn nhiều vf3","VF5 is far superior to VF3 in chassis, engine, battery and size. Options can be cut but core is still much better than VF3",VinFast VF3,False,MIXED_SENTIMENT,True,2.25,LOW,4.51
cda20596-c574-4ed8-a94f-2e5ec7a1bfc7,4,Value Perception,Value for Money,Positive,0.8,"Phù hợp chạy dịch vụ và đi cá nhân, gia đình ít ng. Rất ok","Suitable for service and personal use, small family. Very ok",VinFast VF3,False,MIXED_SENTIMENT,True,2.25,LOW,4.51
a4b9456a-9bc1-4d86-a489-8a2d4feb5be8,0,Value Perception,Price,Negative,0.9,vì nó đắt hơn gần 200 chai,because it is nearly 200 million VND more expensive,VinFast VF3,False,OK,True,0.0,LOW,0.0
